id,run,model,format,knob,level,replicate,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels,normalized,score,strict,vague,label_source
hao_cASDC_n_genes_1_r0_ensembl,0,panglaodb-lookup,ensembl,n_genes,1,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0.0,0.0,0.0,1.0,"[""Unknown / low-quality / no cell type given""]",Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
hao_cASDC_n_genes_1_r0_symbol,0,cellmarker-lookup,symbol,n_genes,1,0,none,ASDC,ASDC,,AXL+ SIGLEC6+ dendritic cell,,0,0,0.0,0.0,1.0,1.0,"[""ASDC""]",ASDC,1.0,1.0,0.0,rule
hao_cASDC_n_genes_1_r0_symbol,0,claude-sonnet-5,symbol,n_genes,1,0,anthropic,ASDC,Plasmacytoid dendritic cell,0.45,"```json
{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.45}
```",end_turn,88,40,,0.000576,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_1_r0_symbol,0,gemini-3.8-flash,symbol,n_genes,1,0,openrouter,ASDC,platelet,0.9,"```json
{
  ""cell_type"": ""platelet"",
  ""confidence"": 0.9
}
```",stop,52,663,635.0,0.00252525,,,,Platelet,0.0,0.0,0.0,rule
hao_cASDC_n_genes_1_r0_symbol,0,gpt-5.6-terra,symbol,n_genes,1,0,openrouter,ASDC,platelet/megakaryocyte,0.35,"{""cell_type"":""platelet/megakaryocyte"",""confidence"":0.35}",stop,58,540,516.0,0.006596,,,,Platelet,0.0,0.0,0.0,judge
hao_cASDC_n_genes_1_r0_symbol,0,panglaodb-lookup,symbol,n_genes,1,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0.0,0.0,0.0,1.0,"[""Unknown / low-quality / no cell type given""]",Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
hao_cASDC_n_genes_3_r0_ensembl,0,cellmarker-lookup,ensembl,n_genes,3,0,none,ASDC,T cell (CD4/CD8/other unclear),,Memory T cell,,0,0,0.0,0.0,1.0,2.0,"[""ASDC"", ""T cell (CD4/CD8/other unclear)""]",T cell (CD4/CD8/other unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_3_r0_ensembl,0,claude-sonnet-5,ensembl,n_genes,3,0,anthropic,ASDC,,,,max_tokens,107,4000,,0.040214,,,,no answer,0.0,0.0,0.0,none
hao_cASDC_n_genes_3_r0_ensembl,0,gemini-3.8-flash,ensembl,n_genes,3,0,openrouter,ASDC,platelet,0.95,"```json
{
  ""cell_type"": ""platelet"",
  ""confidence"": 0.95
}
```",stop,87,3865,3836.0,0.014559,,,,Platelet,0.0,0.0,0.0,rule
hao_cASDC_n_genes_3_r0_ensembl,0,gpt-5.6-terra,ensembl,n_genes,3,0,openrouter,ASDC,NK cell,0.85,"{""cell_type"":""NK cell"",""confidence"":0.85}",stop,73,1429,1410.0,0.017294,,,,NK,0.0,0.0,0.0,rule
hao_cASDC_n_genes_3_r0_ensembl,0,panglaodb-lookup,ensembl,n_genes,3,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0.0,0.0,0.0,1.0,"[""Unknown / low-quality / no cell type given""]",Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
hao_cASDC_n_genes_3_r0_symbol,0,cellmarker-lookup,symbol,n_genes,3,0,none,ASDC,T cell (CD4/CD8/other unclear),,Memory T cell,,0,0,0.0,0.0,1.0,2.0,"[""ASDC"", ""T cell (CD4/CD8/other unclear)""]",T cell (CD4/CD8/other unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_3_r0_symbol,0,claude-sonnet-5,symbol,n_genes,3,0,anthropic,ASDC,Plasmacytoid dendritic cells,0.55,"{""cell_type"": ""Plasmacytoid dendritic cells"", ""confidence"": 0.55}",end_turn,100,35,,0.00055,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_3_r0_symbol,0,gemini-3.8-flash,symbol,n_genes,3,0,openrouter,ASDC,Monocyte,0.85,"```json
{""cell_type"": ""Monocyte"", ""confidence"": 0.85}
```",stop,64,3863,3840.0,0.01453425,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_3_r0_symbol,0,gpt-5.6-terra,symbol,n_genes,3,0,openrouter,ASDC,Monocyte,0.7,"{""cell_type"":""Monocyte"",""confidence"":0.7}",stop,67,200,181.0,0.002534,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_3_r0_symbol,0,panglaodb-lookup,symbol,n_genes,3,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0.0,0.0,0.0,1.0,"[""Unknown / low-quality / no cell type given""]",Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
hao_cASDC_n_genes_5_r0_ensembl,0,cellmarker-lookup,ensembl,n_genes,5,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,2.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_n_genes_5_r0_ensembl,0,claude-sonnet-5,ensembl,n_genes,5,0,anthropic,ASDC,Monocytes (CD14+ classical monocytes),0.75,"{""cell_type"": ""Monocytes (CD14+ classical monocytes)"", ""confidence"": 0.75}",end_turn,125,431,,0.00456,,,,CD14 Mono,0.0,0.0,0.0,judge
hao_cASDC_n_genes_5_r0_ensembl,0,gemini-3.8-flash,ensembl,n_genes,5,0,openrouter,ASDC,dendritic cells,0.95,"```json
{
  ""cell_type"": ""dendritic cells"",
  ""confidence"": 0.95
}
```",stop,115,1982,1951.0,0.00751875,,,,Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_n_genes_5_r0_ensembl,0,gpt-5.6-terra,ensembl,n_genes,5,0,openrouter,ASDC,Monocyte,0.88,"{""cell_type"":""Monocyte"",""confidence"":0.88}",stop,87,535,516.0,0.006594,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_5_r0_ensembl,0,panglaodb-lookup,ensembl,n_genes,5,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0.0,0.0,0.0,1.0,"[""Unknown / low-quality / no cell type given""]",Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
hao_cASDC_n_genes_5_r0_symbol,0,cellmarker-lookup,symbol,n_genes,5,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,2.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_n_genes_5_r0_symbol,0,claude-sonnet-5,symbol,n_genes,5,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.65,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.65}",end_turn,109,40,,0.000618,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_5_r0_symbol,0,gemini-3.8-flash,symbol,n_genes,5,0,openrouter,ASDC,plasmacytoid dendritic cell,0.95,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.95
}
```",stop,71,847,814.0,0.0032295,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_5_r0_symbol,0,gpt-5.6-terra,symbol,n_genes,5,0,openrouter,ASDC,plasmacytoid dendritic cell (pDC),0.72,"{""cell_type"":""plasmacytoid dendritic cell (pDC)"",""confidence"":0.72}",stop,74,420,391.0,0.005188,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_5_r0_symbol,0,panglaodb-lookup,symbol,n_genes,5,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0.0,0.0,0.0,1.0,"[""Unknown / low-quality / no cell type given""]",Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_ensembl,0,cellmarker-lookup,ensembl,rank_window,1-10,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_1-10_r0_ensembl,0,claude-sonnet-5,ensembl,rank_window,1-10,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.65,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.65}",end_turn,170,653,,0.00687,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_ensembl,0,gemini-3.8-flash,ensembl,rank_window,1-10,0,openrouter,ASDC,plasmacytoid dendritic cell,0.98,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.98
}
```",stop,185,2748,2715.0,0.01044375,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_ensembl,0,gpt-5.6-terra,ensembl,rank_window,1-10,0,openrouter,ASDC,Monocyte,0.82,"{""cell_type"":""Monocyte"",""confidence"":0.82}",stop,122,794,775.0,0.009772,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_rank_window_1-10_r0_ensembl,0,panglaodb-lookup,ensembl,rank_window,1-10,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_symbol,0,cellmarker-lookup,symbol,rank_window,1-10,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_1-10_r0_symbol,0,claude-sonnet-5,symbol,rank_window,1-10,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_symbol,0,gemini-3.8-flash,symbol,rank_window,1-10,0,openrouter,ASDC,plasmacytoid dendritic cell,0.98,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.98
}
```",stop,91,447,414.0,0.0017445,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_symbol,0,gpt-5.6-terra,symbol,rank_window,1-10,0,openrouter,ASDC,Plasmacytoid dendritic cell (pDC),0.97,"{""cell_type"":""Plasmacytoid dendritic cell (pDC)"",""confidence"":0.97}",stop,94,70,41.0,0.001028,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_1-10_r0_symbol,0,panglaodb-lookup,symbol,rank_window,1-10,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_ensembl,0,cellmarker-lookup,ensembl,rank_window,11-20,0,none,ASDC,pDC,,Plasmacytoid dendritic cell,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_ensembl,0,claude-sonnet-5,ensembl,rank_window,11-20,0,anthropic,ASDC,Plasmacytoid dendritic cells (pDCs),0.75,"{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.75}",end_turn,170,349,,0.00383,,,,pDC,0.5,0.0,0.0,judge
hao_cASDC_rank_window_11-20_r0_ensembl,0,gemini-3.8-flash,ensembl,rank_window,11-20,0,openrouter,ASDC,plasmacytoid dendritic cell,0.98,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.98
}
```",stop,185,931,898.0,0.00363,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_ensembl,0,gpt-5.6-terra,ensembl,rank_window,11-20,0,openrouter,ASDC,CD14+ monocyte,0.68,"{""cell_type"":""CD14+ monocyte"",""confidence"":0.68}",stop,122,3029,3007.0,0.036592,,,,CD14 Mono,0.0,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_ensembl,0,panglaodb-lookup,ensembl,rank_window,11-20,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_symbol,0,cellmarker-lookup,symbol,rank_window,11-20,0,none,ASDC,pDC,,Plasmacytoid dendritic cell,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_symbol,0,claude-sonnet-5,symbol,rank_window,11-20,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.85,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.85}",end_turn,134,40,,0.000668,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_symbol,0,gemini-3.8-flash,symbol,rank_window,11-20,0,openrouter,ASDC,plasmacytoid dendritic cell,0.98,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.98
}
```",stop,80,394,361.0,0.0015375,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_symbol,0,gpt-5.6-terra,symbol,rank_window,11-20,0,openrouter,ASDC,Plasmacytoid dendritic cell (pDC),0.88,"{""cell_type"":""Plasmacytoid dendritic cell (pDC)"",""confidence"":0.88}",stop,87,128,99.0,0.00171,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_11-20_r0_symbol,0,panglaodb-lookup,symbol,rank_window,11-20,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_21-30_r0_ensembl,0,cellmarker-lookup,ensembl,rank_window,21-30,0,none,ASDC,ASDC,,AXL+ SIGLEC6+ dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""ASDC""]",ASDC,1.0,1.0,0.0,rule
hao_cASDC_rank_window_21-30_r0_ensembl,0,claude-sonnet-5,ensembl,rank_window,21-30,0,anthropic,ASDC,AXL+ SIGLEC6+ transitional dendritic cells (pre-DC/AS-DC subset),0.6,"```json
{""cell_type"": ""AXL+ SIGLEC6+ transitional dendritic cells (pre-DC/AS-DC subset)"", ""confidence"": 0.6}
```",end_turn,170,506,,0.0054,,,,ASDC,1.0,1.0,0.0,judge
hao_cASDC_rank_window_21-30_r0_ensembl,0,gemini-3.8-flash,ensembl,rank_window,21-30,0,openrouter,ASDC,plasmacytoid dendritic cell,0.95,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.95
}
```",stop,185,2035,2002.0,0.00777,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_21-30_r0_ensembl,0,gpt-5.6-terra,ensembl,rank_window,21-30,0,openrouter,ASDC,AXL+ dendritic cell (AS DC / SIGLEC6+ DC-like),0.58,"{""cell_type"":""AXL+ dendritic cell (AS DC / SIGLEC6+ DC-like)"",""confidence"":0.58}",stop,122,2052,2017.0,0.024868,,,,ASDC,1.0,1.0,0.0,judge
hao_cASDC_rank_window_21-30_r0_ensembl,0,panglaodb-lookup,ensembl,rank_window,21-30,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0.0,0.0,1.0,3.0,"[""Dendritic cell (subtype unclear)"", ""Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"", ""Platelet""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_21-30_r0_symbol,0,cellmarker-lookup,symbol,rank_window,21-30,0,none,ASDC,ASDC,,AXL+ SIGLEC6+ dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""ASDC""]",ASDC,1.0,1.0,0.0,rule
hao_cASDC_rank_window_21-30_r0_symbol,0,claude-sonnet-5,symbol,rank_window,21-30,0,anthropic,ASDC,"AXL+ SIGLEC6+ dendritic cells (AS DCs, a rare transitional DC subset)",0.7,"{""cell_type"": ""AXL+ SIGLEC6+ dendritic cells (AS DCs, a rare transitional DC subset)"", ""confidence"": 0.7}",end_turn,137,217,,0.002444,,,,ASDC,1.0,1.0,0.0,judge
hao_cASDC_rank_window_21-30_r0_symbol,0,gemini-3.8-flash,symbol,rank_window,21-30,0,openrouter,ASDC,AXL+ dendritic cell,0.95,"```json
{
  ""cell_type"": ""AXL+ dendritic cell"",
  ""confidence"": 0.95
}
```",stop,86,821,789.0,0.00314325,,,,ASDC,1.0,1.0,0.0,judge
hao_cASDC_rank_window_21-30_r0_symbol,0,gpt-5.6-terra,symbol,rank_window,21-30,0,openrouter,ASDC,AXL-positive dendritic cell (AS DC-like),0.72,"{""cell_type"":""AXL-positive dendritic cell (AS DC-like)"",""confidence"":0.72}",stop,94,293,265.0,0.003704,,,,ASDC,1.0,1.0,0.0,judge
hao_cASDC_rank_window_21-30_r0_symbol,0,panglaodb-lookup,symbol,rank_window,21-30,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0.0,0.0,1.0,3.0,"[""Dendritic cell (subtype unclear)"", ""Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"", ""Platelet""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_31-40_r0_ensembl,0,cellmarker-lookup,ensembl,rank_window,31-40,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,3.0,2.0,"[""ASDC"", ""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_31-40_r0_ensembl,0,claude-sonnet-5,ensembl,rank_window,31-40,0,anthropic,ASDC,Dendritic cells (conventional/myeloid DCs),0.7,"{""cell_type"": ""Dendritic cells (conventional/myeloid DCs)"", ""confidence"": 0.7}",end_turn,170,548,,0.00582,,,,Dendritic cell (subtype unclear),0.5,0.0,1.0,judge
hao_cASDC_rank_window_31-40_r0_ensembl,0,gemini-3.8-flash,ensembl,rank_window,31-40,0,openrouter,ASDC,dendritic cell,0.95,"```json
{
  ""cell_type"": ""dendritic cell"",
  ""confidence"": 0.95
}
```",stop,185,3120,3089.0,0.01183875,,,,Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_31-40_r0_ensembl,0,gpt-5.6-terra,ensembl,rank_window,31-40,0,openrouter,ASDC,B cell,0.82,"{""cell_type"":""B cell"",""confidence"":0.82}",stop,122,1172,1153.0,0.014308,,,,B cell (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_rank_window_31-40_r0_ensembl,0,panglaodb-lookup,ensembl,rank_window,31-40,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_31-40_r0_symbol,0,cellmarker-lookup,symbol,rank_window,31-40,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,3.0,2.0,"[""ASDC"", ""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_rank_window_31-40_r0_symbol,0,claude-sonnet-5,symbol,rank_window,31-40,0,anthropic,ASDC,Dendritic cell (conventional/myeloid DC),0.65,"```json
{""cell_type"": ""Dendritic cell (conventional/myeloid DC)"", ""confidence"": 0.65}
```",end_turn,143,45,,0.000736,,,,Dendritic cell (subtype unclear),0.5,0.0,1.0,judge
hao_cASDC_rank_window_31-40_r0_symbol,0,gemini-3.8-flash,symbol,rank_window,31-40,0,openrouter,ASDC,conventional dendritic cell,0.92,"```json
{
  ""cell_type"": ""conventional dendritic cell"",
  ""confidence"": 0.92
}
```",stop,90,2046,2016.0,0.00774,,,,Dendritic cell (subtype unclear),0.5,0.0,1.0,judge
hao_cASDC_rank_window_31-40_r0_symbol,0,gpt-5.6-terra,symbol,rank_window,31-40,0,openrouter,ASDC,plasmacytoid dendritic cell (pDC),0.78,"{""cell_type"":""plasmacytoid dendritic cell (pDC)"",""confidence"":0.78}",stop,98,1158,1129.0,0.014092,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_rank_window_31-40_r0_symbol,0,panglaodb-lookup,symbol,rank_window,31-40,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_ribo_filter_off_r0_ensembl,0,cellmarker-lookup,ensembl,ribo_filter,off,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_ribo_filter_off_r0_ensembl,0,claude-sonnet-5,ensembl,ribo_filter,off,0,anthropic,ASDC,"Myeloid dendritic cell / Monocyte (myeloid lineage, based on IRF8, CST3, VIM, SAMHD1, S100A10 expression)",0.55,"```json
{""cell_type"": ""Myeloid dendritic cell / Monocyte (myeloid lineage, based on IRF8, CST3, VIM, SAMHD1, S100A10 expression)"", ""confidence"": 0.55}
```",end_turn,170,921,,0.00955,,,,Dendritic cell (subtype unclear),0.5,0.0,1.0,judge
hao_cASDC_ribo_filter_off_r0_ensembl,0,gemini-3.8-flash,ensembl,ribo_filter,off,0,openrouter,ASDC,non-classical monocyte,0.95,"```json
{""cell_type"": ""non-classical monocyte"", ""confidence"": 0.95}
```",stop,185,1154,1128.0,0.00446625,,,,CD16 Mono,0.0,0.0,0.0,rule
hao_cASDC_ribo_filter_off_r0_ensembl,0,gpt-5.6-terra,ensembl,ribo_filter,off,0,openrouter,ASDC,Monocytes,0.72,"{""cell_type"":""Monocytes"",""confidence"":0.72}",stop,122,1701,1682.0,0.020656,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_ribo_filter_off_r0_ensembl,0,panglaodb-lookup,ensembl,ribo_filter,off,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_ribo_filter_off_r0_symbol,0,cellmarker-lookup,symbol,ribo_filter,off,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_ribo_filter_off_r0_symbol,0,claude-sonnet-5,symbol,ribo_filter,off,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,,,,pDC,0.5,0.0,0.0,rule
