id,format,knob,level,replicate,run,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd
hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,B intermediate,B cell,0.8,"{""cell_type"": ""B cell"", ""confidence"": 0.8}",end_turn,170,455,,0.00489
hao_cASDC_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,ASDC,,,,max_tokens,107,4000,,0.040214
hao_cB-intermediate_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,B intermediate,Memory B cells,0.8,"{""cell_type"": ""Memory B cells"", ""confidence"": 0.8}",end_turn,143,97,,0.001256
hao_cB-intermediate_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,86,24,,0.000412
hao_cB-intermediate_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,B intermediate,"B cells (naive B cells, based on IGHD, PAX5, BLK, POU2F2, HLA-DMB, HLA-DRB5, AFF3 expression)",0.92,"{""cell_type"": ""B cells (naive B cells, based on IGHD, PAX5, BLK, POU2F2, HLA-DMB, HLA-DRB5, AFF3 expression)"", ""confidence"": 0.92}",end_turn,170,578,,0.00612
hao_cB-intermediate_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,89,52,,0.000698
hao_cB-intermediate_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,98,24,,0.000436
hao_cB-intermediate_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,B intermediate,B cells,0.75,"{""cell_type"": ""B cells"", ""confidence"": 0.75}",end_turn,170,580,,0.00614
hao_cB-intermediate_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,107,110,,0.001314
hao_cB-intermediate_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,107,24,,0.000454
hao_cB-intermediate_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,125,159,,0.00184
hao_cB-intermediate_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,143,24,,0.000526
hao_cB-intermediate_noise_0_r0_symbol,symbol,noise,0,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,143,29,,0.000576
hao_cB-intermediate_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,B intermediate,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,270,,0.00304
hao_cB-intermediate_noise_2_r0_symbol,symbol,noise,2,0,0,B intermediate,B cell,0.93,"{""cell_type"": ""B cell"", ""confidence"": 0.93}",end_turn,138,24,,0.000516
hao_cB-intermediate_noise_0_r0_ensembl,ensembl,noise,0,0,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,303,,0.00337
hao_cB-intermediate_noise_2_r1_symbol,symbol,noise,2,1,0,B intermediate,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,142,24,,0.000524
hao_cB-intermediate_noise_2_r0_ensembl,ensembl,noise,2,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,302,,0.00336
hao_cB-intermediate_noise_2_r2_symbol,symbol,noise,2,2,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,145,29,,0.00058
hao_cB-intermediate_noise_2_r1_ensembl,ensembl,noise,2,1,0,B intermediate,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,310,,0.00344
hao_cB-intermediate_noise_4_r0_symbol,symbol,noise,4,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,141,29,,0.000572
hao_cB-intermediate_noise_2_r2_ensembl,ensembl,noise,2,2,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,317,,0.00351
hao_cB-intermediate_noise_4_r1_symbol,symbol,noise,4,1,0,B intermediate,B cell,0.92,"{""cell_type"": ""B cell"", ""confidence"": 0.92}",end_turn,143,24,,0.000526
hao_cB-intermediate_noise_4_r0_ensembl,ensembl,noise,4,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,321,,0.00355
hao_cB-intermediate_noise_4_r2_symbol,symbol,noise,4,2,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,141,29,,0.000572
hao_cB-intermediate_noise_6_r0_symbol,symbol,noise,6,0,0,B intermediate,B cell,0.85,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",end_turn,141,29,,0.000572
hao_cB-intermediate_noise_4_r1_ensembl,ensembl,noise,4,1,0,B intermediate,B cells,0.92,"{""cell_type"": ""B cells"", ""confidence"": 0.92}

The gene set includes classic B-cell lineage markers: MS4A1 (CD20), CD79A, BANK1, and IGHM, along with MHC class II genes (HLA-DRA, HLA-DQB1) that are highly expressed in antigen-presenting B cells. This combination is highly specific for B lymphocytes in PBMC data.",end_turn,170,541,,0.00575
hao_cB-intermediate_noise_4_r2_ensembl,ensembl,noise,4,2,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,317,,0.00351
hao_cB-intermediate_noise_6_r1_symbol,symbol,noise,6,1,0,B intermediate,B cell,0.75,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.75}
```",end_turn,154,29,,0.000598
hao_cB-intermediate_noise_6_r0_ensembl,ensembl,noise,6,0,0,B intermediate,B cells,0.9,"{""cell_type"": ""B cells"", ""confidence"": 0.9}",end_turn,170,286,,0.0032
hao_cB-intermediate_noise_6_r2_symbol,symbol,noise,6,2,0,B intermediate,B cell,0.85,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",end_turn,141,29,,0.000572
hao_cB-intermediate_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,143,29,,0.000576
hao_cB-intermediate_noise_6_r1_ensembl,ensembl,noise,6,1,0,B intermediate,B cells,0.85,"{""cell_type"": ""B cells"", ""confidence"": 0.85}",end_turn,170,475,,0.00509
hao_cB-intermediate_noise_6_r2_ensembl,ensembl,noise,6,2,0,B intermediate,B cells,0.85,"{""cell_type"": ""B cells"", ""confidence"": 0.85}",end_turn,170,358,,0.00392
hao_cB-intermediate_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,B intermediate,B cell,0.97,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",end_turn,143,29,,0.000576
hao_cB-intermediate_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,284,,0.00318
hao_cB-memory_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,B memory,B cell,0.97,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",end_turn,142,29,,0.000574
hao_cB-intermediate_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,283,,0.00317
hao_cB-memory_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,306,,0.0034
hao_cB-memory_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,B memory,B cell,0.9,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.9}
```",end_turn,146,29,,0.000582
hao_cB-memory_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,B memory,B cell,0.85,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",end_turn,145,29,,0.00058
hao_cB-memory_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,B memory,B cells,0.9,"{""cell_type"": ""B cells"", ""confidence"": 0.9}",end_turn,170,295,,0.00329
hao_cB-memory_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,B memory,B cell,0.85,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",end_turn,135,29,,0.00056
hao_cB-memory_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,B memory,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,86,24,,0.000412
hao_cB-memory_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,B memory,B cells,0.75,"{""cell_type"": ""B cells"", ""confidence"": 0.75}",end_turn,170,336,,0.0037
hao_cB-memory_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,B memory,B cells,0.9,"{""cell_type"": ""B cells"", ""confidence"": 0.9}",end_turn,89,55,,0.000728
hao_cB-memory_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,B memory,"B cells (antigen-presenting cells expressing MHC class II - HLA-DR/DM/DQ, with MEF2C)",0.55,"{""cell_type"": ""B cells (antigen-presenting cells expressing MHC class II - HLA-DR/DM/DQ, with MEF2C)"", ""confidence"": 0.55}",end_turn,170,586,,0.0062
hao_cB-memory_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,B memory,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,96,24,,0.000432
hao_cB-memory_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,B memory,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,107,24,,0.000454
hao_cB-memory_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,B memory,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,107,84,,0.001054
hao_cB-memory_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,B memory,B cell,0.97,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",end_turn,142,29,,0.000574
hao_cB-memory_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,B memory,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,125,175,,0.002
hao_cB-memory_noise_0_r0_symbol,symbol,noise,0,0,0,B memory,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,142,29,,0.000574
hao_cB-memory_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,B memory,B cells,0.98,"{""cell_type"": ""B cells"", ""confidence"": 0.98}",end_turn,170,283,,0.00317
hao_cB-memory_noise_2_r0_symbol,symbol,noise,2,0,0,B memory,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,138,24,,0.000516
hao_cB-memory_noise_0_r0_ensembl,ensembl,noise,0,0,0,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,367,,0.00401
hao_cB-memory_noise_2_r1_symbol,symbol,noise,2,1,0,B memory,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,141,29,,0.000572
hao_cB-memory_noise_2_r0_ensembl,ensembl,noise,2,0,0,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,311,,0.00345
hao_cB-memory_noise_2_r2_symbol,symbol,noise,2,2,0,B memory,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,148,24,,0.000536
hao_cB-memory_noise_2_r1_ensembl,ensembl,noise,2,1,0,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,340,,0.00374
hao_cB-memory_noise_4_r0_symbol,symbol,noise,4,0,0,B memory,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,137,24,,0.000514
hao_cB-memory_noise_2_r2_ensembl,ensembl,noise,2,2,0,B memory,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,313,,0.00347
hao_cB-memory_noise_4_r1_symbol,symbol,noise,4,1,0,B memory,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,141,29,,0.000572
hao_cB-memory_noise_4_r0_ensembl,ensembl,noise,4,0,0,B memory,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,270,,0.00304
hao_cB-memory_noise_4_r2_symbol,symbol,noise,4,2,0,B memory,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,139,24,,0.000518
hao_cB-memory_noise_4_r1_ensembl,ensembl,noise,4,1,0,B memory,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,278,,0.00312
hao_cB-memory_noise_6_r0_symbol,symbol,noise,6,0,0,B memory,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,136,24,,0.000512
hao_cB-memory_noise_4_r2_ensembl,ensembl,noise,4,2,0,B memory,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,356,,0.0039
hao_cB-memory_noise_6_r1_symbol,symbol,noise,6,1,0,B memory,B cell,0.85,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",end_turn,149,29,,0.000588
hao_cB-memory_noise_6_r0_ensembl,ensembl,noise,6,0,0,B memory,B cells,0.9,"{""cell_type"": ""B cells"", ""confidence"": 0.9}",end_turn,170,326,,0.0036
hao_cB-memory_noise_6_r2_symbol,symbol,noise,6,2,0,B memory,B cell,0.85,"{""cell_type"": ""B cell"", ""confidence"": 0.85}",end_turn,143,24,,0.000526
hao_cB-memory_noise_6_r1_ensembl,ensembl,noise,6,1,0,B memory,B cells,0.85,"{""cell_type"": ""B cells"", ""confidence"": 0.85}",end_turn,170,371,,0.00405
hao_cB-memory_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,B memory,B cell,0.97,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",end_turn,142,29,,0.000574
hao_cB-memory_noise_6_r2_ensembl,ensembl,noise,6,2,0,B memory,B cells,0.93,"{""cell_type"": ""B cells"", ""confidence"": 0.93}",end_turn,170,346,,0.0038
hao_cB-memory_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,B memory,B cell,0.97,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",end_turn,142,29,,0.000574
hao_cB-memory_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,285,,0.00319
hao_cB-naive_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,B naive,Naive B cell,0.85,"{""cell_type"": ""Naive B cell"", ""confidence"": 0.85}",end_turn,132,27,,0.000534
hao_cB-memory_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,272,,0.00306
