model,id,format,knob,level,replicate,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,normalized,score,strict
claude-sonnet-5,pbmc_c0_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,CD8 T cells,NK cell (or cytotoxic T lymphocyte),0.7,"{""cell_type"": ""NK cell (or cytotoxic T lymphocyte)"", ""confidence"": 0.7}",end_turn,90,186,,0.00204,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_n_genes_5_r0_symbol,symbol,n_genes,5,0,CD8 T cells,Cytotoxic T cell (CD8+ T cell) / NK cell,0.7,"{""cell_type"": ""Cytotoxic T cell (CD8+ T cell) / NK cell"", ""confidence"": 0.7}",end_turn,85,87,,0.00104,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_n_genes_10_r0_symbol,symbol,n_genes,10,0,CD8 T cells,Cytotoxic T cell (CD8+ / NK-like T cell),0.75,"{""cell_type"": ""Cytotoxic T cell (CD8+ / NK-like T cell)"", ""confidence"": 0.75}",end_turn,112,46,,0.000684,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,CD8 T cells,T cell (likely CD4+ or CD8+ effector/memory T lymphocyte),0.55,"```json
{""cell_type"": ""T cell (likely CD4+ or CD8+ effector/memory T lymphocyte)"", ""confidence"": 0.55}
```",end_turn,153,936,,0.009666,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,CD8 T cells,NK cell / cytotoxic T lymphocyte (CD8+ effector/cytotoxic lymphocyte),0.75,"{""cell_type"": ""NK cell / cytotoxic T lymphocyte (CD8+ effector/cytotoxic lymphocyte)"", ""confidence"": 0.75}",end_turn,108,223,,0.002446,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_0_r0_symbol,symbol,noise,0,0,CD8 T cells,Cytotoxic T cell (CD8+ T cell / NK-like T cell),0.75,"```json
{""cell_type"": ""Cytotoxic T cell (CD8+ T cell / NK-like T cell)"", ""confidence"": 0.75}
```",end_turn,112,54,,0.000764,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,CD8 T cells,CD8+ cytotoxic T cell,0.85,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.85}",end_turn,153,290,,0.003206,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_2_r0_symbol,symbol,noise,2,0,CD8 T cells,CD8+ cytotoxic T cell (or NK/T cytotoxic lymphocyte),0.75,"{""cell_type"": ""CD8+ cytotoxic T cell (or NK/T cytotoxic lymphocyte)"", ""confidence"": 0.75}",end_turn,113,54,,0.000766,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_0_r0_ensembl,ensembl,noise,0,0,CD8 T cells,CD8+ cytotoxic T cell,0.85,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.85}",end_turn,153,306,,0.003366,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_2_r1_symbol,symbol,noise,2,1,CD8 T cells,Cytotoxic T cell / NK cell (CD8+ T/NK lymphocyte),0.75,"```json
{""cell_type"": ""Cytotoxic T cell / NK cell (CD8+ T/NK lymphocyte)"", ""confidence"": 0.75}
```",end_turn,118,58,,0.000816,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_2_r0_ensembl,ensembl,noise,2,0,CD8 T cells,"CD8+ cytotoxic T cell (effector/memory, NK-like)",0.75,"{""cell_type"": ""CD8+ cytotoxic T cell (effector/memory, NK-like)"", ""confidence"": 0.75}",end_turn,153,349,,0.003796,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_2_r2_symbol,symbol,noise,2,2,CD8 T cells,CD8+ cytotoxic T cell (effector/memory),0.75,"```json
{""cell_type"": ""CD8+ cytotoxic T cell (effector/memory)"", ""confidence"": 0.75}
```",end_turn,112,47,,0.000694,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_2_r1_ensembl,ensembl,noise,2,1,CD8 T cells,Cytotoxic lymphocyte (NK cell or CD8+ T cell),0.75,"{""cell_type"": ""Cytotoxic lymphocyte (NK cell or CD8+ T cell)"", ""confidence"": 0.75}",end_turn,153,272,,0.003026,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_4_r0_symbol,symbol,noise,4,0,CD8 T cells,CD8+ cytotoxic T cell,0.75,"```json
{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.75}
```",end_turn,116,40,,0.000632,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_2_r2_ensembl,ensembl,noise,2,2,CD8 T cells,Cytotoxic T lymphocyte (CD8+ effector/memory T cell),0.8,"{""cell_type"": ""Cytotoxic T lymphocyte (CD8+ effector/memory T cell)"", ""confidence"": 0.8}",end_turn,153,332,,0.003626,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_4_r1_symbol,symbol,noise,4,1,CD8 T cells,CD8+ cytotoxic T cell,0.75,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.75}",end_turn,115,35,,0.00058,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_4_r2_symbol,symbol,noise,4,2,CD8 T cells,Cytotoxic T cell (or NK cell) - CD8+ T/NK lymphocyte,0.7,"{""cell_type"": ""Cytotoxic T cell (or NK cell) - CD8+ T/NK lymphocyte"", ""confidence"": 0.7}",end_turn,118,54,,0.000776,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_6_r0_symbol,symbol,noise,6,0,CD8 T cells,CD8+ Cytotoxic T cell / NK cell (cytotoxic lymphocyte),0.75,"```json
{""cell_type"": ""CD8+ Cytotoxic T cell / NK cell (cytotoxic lymphocyte)"", ""confidence"": 0.75}
```",end_turn,115,60,,0.00083,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_4_r0_ensembl,ensembl,noise,4,0,CD8 T cells,"CD8+ cytotoxic T cells (or NK/NKT cells, given co-expression of CD3D, NCR3, CTSW, CCL5, and MHC class I genes)",0.55,"{""cell_type"": ""CD8+ cytotoxic T cells (or NK/NKT cells, given co-expression of CD3D, NCR3, CTSW, CCL5, and MHC class I genes)"", ""confidence"": 0.55}",end_turn,153,703,,0.007336,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_4_r1_ensembl,ensembl,noise,4,1,CD8 T cells,CD8+ cytotoxic T cell,0.75,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.75}",end_turn,153,578,,0.006086,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_6_r1_symbol,symbol,noise,6,1,CD8 T cells,CD8+ cytotoxic T cell,0.7,"```json
{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.7}
```",end_turn,119,40,,0.000638,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_4_r2_ensembl,ensembl,noise,4,2,CD8 T cells,Cytotoxic T cell / NK cell (CD8+ effector lymphocyte),0.7,"```json
{""cell_type"": ""Cytotoxic T cell / NK cell (CD8+ effector lymphocyte)"", ""confidence"": 0.7}
```",end_turn,153,543,,0.005736,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_6_r0_ensembl,ensembl,noise,6,0,CD8 T cells,CD8+ cytotoxic T cells,0.75,"{""cell_type"": ""CD8+ cytotoxic T cells"", ""confidence"": 0.75}",end_turn,153,340,,0.003706,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_6_r2_symbol,symbol,noise,6,2,CD8 T cells,"CD8+ cytotoxic T cell / NK cell (GZMA+, CCL5+)",0.6,"```json
{""cell_type"": ""CD8+ cytotoxic T cell / NK cell (GZMA+, CCL5+)"", ""confidence"": 0.6}
```",end_turn,120,58,,0.00082,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,CD8 T cells,Cytotoxic T cell (CD8+ T cell / NK-like T cell),0.75,"```json
{""cell_type"": ""Cytotoxic T cell (CD8+ T cell / NK-like T cell)"", ""confidence"": 0.75}
```",end_turn,112,54,,0.000764,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_6_r1_ensembl,ensembl,noise,6,1,CD8 T cells,CD8+ cytotoxic T cell,0.6,"```json
{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.6}
```",end_turn,153,533,,0.005636,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,CD8 T cells,Cytotoxic T cell (CD8+ T cell / NK-like T cell),0.8,"```json
{""cell_type"": ""Cytotoxic T cell (CD8+ T cell / NK-like T cell)"", ""confidence"": 0.8}
```",end_turn,112,54,,0.000764,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,CD8 T cells,CD8+ cytotoxic T cell,0.85,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.85}",end_turn,153,308,,0.003386,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c0_noise_6_r2_ensembl,ensembl,noise,6,2,CD8 T cells,Monocyte (likely CD14+/CD16+ monocyte subset),0.5,"```json
{""cell_type"": ""Monocyte (likely CD14+/CD16+ monocyte subset)"", ""confidence"": 0.5}
```",end_turn,153,602,,0.006326,FCGR3A Monocytes,0.0,0.0
claude-sonnet-5,pbmc_c0_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,CD8 T cells,CD8+ cytotoxic T cell,0.85,"```json
{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.85}
```",end_turn,153,311,,0.003416,CD8 T cells,1.0,1.0
claude-sonnet-5,pbmc_c1_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,CD4 T cells,"T cell (lymphocyte, likely naive T cell) - characterized by high ribosomal protein gene expression",0.55,"```json
{""cell_type"": ""T cell (lymphocyte, likely naive T cell) - characterized by high ribosomal protein gene expression"", ""confidence"": 0.55}
```",end_turn,113,62,,0.000846,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,CD4 T cells,"T cell (CD3D+ lymphocyte, likely resting T cell with high ribosomal protein expression)",0.7,"```json
{""cell_type"": ""T cell (CD3D+ lymphocyte, likely resting T cell with high ribosomal protein expression)"", ""confidence"": 0.7}
```",end_turn,118,62,,0.000856,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,CD4 T cells,Naive T lymphocyte (ribosomal protein gene-high lymphocyte population),0.55,"{""cell_type"": ""Naive T lymphocyte (ribosomal protein gene-high lymphocyte population)"", ""confidence"": 0.55}",end_turn,153,357,,0.003876,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,CD4 T cells,T cell (CD3+ lymphocyte),0.8,"{""cell_type"": ""T cell (CD3+ lymphocyte)"", ""confidence"": 0.8}",end_turn,153,301,,0.003316,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,CD4 T cells,Lymphocyte (likely T cell) - ribosomal protein-high resting lymphocyte,0.4,"{""cell_type"": ""Lymphocyte (likely T cell) - ribosomal protein-high resting lymphocyte"", ""confidence"": 0.4}",end_turn,118,53,,0.000766,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,CD4 T cells,T lymphocyte (likely CD4+ T cell),0.6,"```json
{""cell_type"": ""T lymphocyte (likely CD4+ T cell)"", ""confidence"": 0.6}
```",end_turn,114,45,,0.000678,CD4 T cells,1.0,1.0
claude-sonnet-5,pbmc_c1_n_genes_1_r0_symbol,symbol,n_genes,1,0,CD4 T cells,Lymphocyte (likely T cell),0.3,"```json
{""cell_type"": ""Lymphocyte (likely T cell)"", ""confidence"": 0.3}
```",end_turn,68,40,,0.000536,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,CD4 T cells,Lymphocyte (likely naive T cell) — high ribosomal protein gene expression signature,0.4,"{""cell_type"": ""Lymphocyte (likely naive T cell) — high ribosomal protein gene expression signature"", ""confidence"": 0.4}",end_turn,153,431,,0.004616,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,CD4 T cells,"T cell (CD3E+ lymphocyte, likely naive/resting T cell with high ribosomal gene expression)",0.75,"{""cell_type"": ""T cell (CD3E+ lymphocyte, likely naive/resting T cell with high ribosomal gene expression)"", ""confidence"": 0.75}",end_turn,153,301,,0.003316,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,CD4 T cells,Erythroid cells,0.6,"{""cell_type"": ""Erythroid cells"", ""confidence"": 0.6}",end_turn,72,28,,0.000424,other,0.0,0.0
claude-sonnet-5,pbmc_c1_n_genes_3_r0_symbol,symbol,n_genes,3,0,CD4 T cells,T lymphocyte,0.4,"{""cell_type"": ""T lymphocyte"", ""confidence"": 0.4}",end_turn,78,28,,0.000436,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_n_genes_5_r0_symbol,symbol,n_genes,5,0,CD4 T cells,"Lymphocyte (T cell), based on ribosomal protein gene dominance suggestive of a resting/naive lymphocyte population",0.4,"{""cell_type"": ""Lymphocyte (T cell), based on ribosomal protein gene dominance suggestive of a resting/naive lymphocyte population"", ""confidence"": 0.4}",end_turn,88,65,,0.000826,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,CD4 T cells,"Naive T cell (likely CD4+ naive T lymphocyte, based on high ribosomal protein and LDHB expression typical of resting/naive lymphocytes in blood)",0.45,"{""cell_type"": ""Naive T cell (likely CD4+ naive T lymphocyte, based on high ribosomal protein and LDHB expression typical of resting/naive lymphocytes in blood)"", ""confidence"": 0.45}",end_turn,90,321,,0.00339,CD4 T cells,1.0,1.0
claude-sonnet-5,pbmc_c1_n_genes_10_r0_symbol,symbol,n_genes,10,0,CD4 T cells,"Lymphocyte (likely T cell), characterized by high ribosomal protein gene expression",0.55,"```json
{""cell_type"": ""Lymphocyte (likely T cell), characterized by high ribosomal protein gene expression"", ""confidence"": 0.55}
```",end_turn,113,56,,0.000786,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_0_r0_symbol,symbol,noise,0,0,CD4 T cells,"T lymphocyte (naive/resting lymphocyte, ribosomal-high)",0.45,"```json
{""cell_type"": ""T lymphocyte (naive/resting lymphocyte, ribosomal-high)"", ""confidence"": 0.45}
```",end_turn,113,54,,0.000766,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,CD4 T cells,Lymphocyte (likely naive T cell),0.45,"{""cell_type"": ""Lymphocyte (likely naive T cell)"", ""confidence"": 0.45}

**Reasoning:** The genes correspond to:
- ENSG00000112306 = RPS12
- ENSG00000111716 = LDHB
- ENSG00000118181 = RPS25
- ENSG00000177954 = RPS28
- ENSG00000137154 = RPS6

This gene set is dominated by ribosomal protein genes (RPS12, RPS25, RPS28, RPS6) along with LDHB. This signature is characteristic of resting/naive lymphocytes (particularly naive T cells), which are known for high ribosomal protein gene expression relative to more activated or differentiated immune cells. However, this signature alone lacks more specific lineage markers (e.g., CD3, CD4, CD8, CD19), so confidence is moderate rather than high—this could represent a naive T cell, naive B cell, or other quiescent lymphocyte population, and might simply reflect a low-complexity/high-ribosomal cluster rather than a highly specific cell type.",end_turn,108,604,,0.006256,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,CD4 T cells,Naive T lymphocyte (ribosomal-protein-high resting lymphocyte population),0.5,"{""cell_type"": ""Naive T lymphocyte (ribosomal-protein-high resting lymphocyte population)"", ""confidence"": 0.5}",end_turn,153,349,,0.003796,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_2_r0_symbol,symbol,noise,2,0,CD4 T cells,T lymphocyte (naive T cell),0.55,"```json
{""cell_type"": ""T lymphocyte (naive T cell)"", ""confidence"": 0.55}
```",end_turn,114,40,,0.000628,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_2_r1_symbol,symbol,noise,2,1,CD4 T cells,T lymphocyte (naive T cell),0.55,"```json
{""cell_type"": ""T lymphocyte (naive T cell)"", ""confidence"": 0.55}
```",end_turn,118,40,,0.000636,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_0_r0_ensembl,ensembl,noise,0,0,CD4 T cells,"Lymphocyte (likely naive T cell), based on dominant ribosomal protein gene expression (RPS12, RPS25, RPS28, RPS6, RPS3, RPL31, RPL32, RPL3) and LDHB, which is a classic signature of resting/naive lymphocytes in blood",0.55,"{""cell_type"": ""Lymphocyte (likely naive T cell), based on dominant ribosomal protein gene expression (RPS12, RPS25, RPS28, RPS6, RPS3, RPL31, RPL32, RPL3) and LDHB, which is a classic signature of resting/naive lymphocytes in blood"", ""confidence"": 0.55}",end_turn,153,444,,0.004746,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_2_r0_ensembl,ensembl,noise,2,0,CD4 T cells,Naive T lymphocyte,0.45,"{""cell_type"": ""Naive T lymphocyte"", ""confidence"": 0.45}",end_turn,153,458,,0.004886,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_2_r2_symbol,symbol,noise,2,2,CD4 T cells,T lymphocyte (naive/resting T cell),0.55,"```json
{""cell_type"": ""T lymphocyte (naive/resting T cell)"", ""confidence"": 0.55}
```",end_turn,119,43,,0.000668,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_4_r0_symbol,symbol,noise,4,0,CD4 T cells,Plasmacytoid dendritic cell,0.35,"{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.35}",end_turn,120,35,,0.00059,Dendritic cells,0.0,0.0
claude-sonnet-5,pbmc_c1_noise_2_r1_ensembl,ensembl,noise,2,1,CD4 T cells,"Lymphocyte (likely naive T cell), based on high ribosomal protein gene expression (RPS12, RPS27, RPS6, RPS3, RPL31, RPL3) and LDHB",0.55,"{""cell_type"": ""Lymphocyte (likely naive T cell), based on high ribosomal protein gene expression (RPS12, RPS27, RPS6, RPS3, RPL31, RPL3) and LDHB"", ""confidence"": 0.55}",end_turn,153,427,,0.004576,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_2_r2_ensembl,ensembl,noise,2,2,CD4 T cells,"T cell (likely naive lymphocyte, based on high ribosomal protein gene expression)",0.4,"{""cell_type"": ""T cell (likely naive lymphocyte, based on high ribosomal protein gene expression)"", ""confidence"": 0.4}",end_turn,153,364,,0.003946,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_4_r1_symbol,symbol,noise,4,1,CD4 T cells,Erythroid lineage cells (erythroblasts/reticulocytes),0.55,"```json
{""cell_type"": ""Erythroid lineage cells (erythroblasts/reticulocytes)"", ""confidence"": 0.55}
```",end_turn,120,51,,0.00075,other,0.0,0.0
claude-sonnet-5,pbmc_c1_noise_4_r2_symbol,symbol,noise,4,2,CD4 T cells,"T lymphocyte (naive/resting T cell, likely CD4+)",0.4,"{""cell_type"": ""T lymphocyte (naive/resting T cell, likely CD4+)"", ""confidence"": 0.4}",end_turn,118,45,,0.000686,CD4 T cells,1.0,1.0
claude-sonnet-5,pbmc_c1_noise_4_r0_ensembl,ensembl,noise,4,0,CD4 T cells,"T lymphocyte (likely naive T cell, based on ribosomal protein gene enrichment and RTKN expression)",0.4,"{""cell_type"": ""T lymphocyte (likely naive T cell, based on ribosomal protein gene enrichment and RTKN expression)"", ""confidence"": 0.4}",end_turn,153,538,,0.005686,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_4_r1_ensembl,ensembl,noise,4,1,CD4 T cells,"T cell (lymphocyte, likely naive/resting subset based on high ribosomal protein gene expression)",0.35,"{""cell_type"": ""T cell (lymphocyte, likely naive/resting subset based on high ribosomal protein gene expression)"", ""confidence"": 0.35}",end_turn,153,441,,0.004716,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_6_r0_symbol,symbol,noise,6,0,CD4 T cells,T lymphocyte (likely CD4+ T cell),0.35,"```json
{""cell_type"": ""T lymphocyte (likely CD4+ T cell)"", ""confidence"": 0.35}
```",end_turn,122,45,,0.000694,CD4 T cells,1.0,1.0
claude-sonnet-5,pbmc_c1_noise_6_r1_symbol,symbol,noise,6,1,CD4 T cells,T lymphocyte,0.4,"{""cell_type"": ""T lymphocyte"", ""confidence"": 0.4}",end_turn,121,28,,0.000522,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_4_r2_ensembl,ensembl,noise,4,2,CD4 T cells,Naive T lymphocyte (ribosomal protein gene-high lymphocyte population),0.4,"{""cell_type"": ""Naive T lymphocyte (ribosomal protein gene-high lymphocyte population)"", ""confidence"": 0.4}",end_turn,153,409,,0.004396,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_noise_6_r2_symbol,symbol,noise,6,2,CD4 T cells,"Reticulocyte/erythroid-lineage cell (immature erythroid cells, possibly early erythroblast)",0.45,"```json
{""cell_type"": ""Reticulocyte/erythroid-lineage cell (immature erythroid cells, possibly early erythroblast)"", ""confidence"": 0.45}
```",end_turn,119,64,,0.000878,other,0.0,0.0
claude-sonnet-5,pbmc_c1_noise_6_r0_ensembl,ensembl,noise,6,0,CD4 T cells,Erythroid cells (reticulocytes/erythroblasts),0.55,"{""cell_type"": ""Erythroid cells (reticulocytes/erythroblasts)"", ""confidence"": 0.55}",end_turn,153,594,,0.006246,other,0.0,0.0
claude-sonnet-5,pbmc_c1_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,CD4 T cells,"T lymphocyte (naive/resting, ribosomal-high)",0.45,"```json
{""cell_type"": ""T lymphocyte (naive/resting, ribosomal-high)"", ""confidence"": 0.45}
```",end_turn,113,48,,0.000706,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c1_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,CD4 T cells,"T cell (CD3+, likely CD4+ helper T cell)",0.8,"```json
{""cell_type"": ""T cell (CD3+, likely CD4+ helper T cell)"", ""confidence"": 0.8}
```",end_turn,114,48,,0.000708,CD4 T cells,1.0,1.0
claude-sonnet-5,pbmc_c1_noise_6_r2_ensembl,ensembl,noise,6,2,CD4 T cells,Naive T cell (or other resting lymphocyte population with high ribosomal protein gene expression),0.35,"```json
{""cell_type"": ""Naive T cell (or other resting lymphocyte population with high ribosomal protein gene expression)"", ""confidence"": 0.35}
```",end_turn,153,680,,0.007106,T cells (unspecified),0.5,0.0
claude-sonnet-5,pbmc_c2_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,B cells,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,131,29,,0.000552,B cells,1.0,1.0
