cellmarker_cell_name,hao_label
Cytotoxic CD8+ T cell,CD8 T cell (subtype unclear)
Cytotoxic T cell,CD8 T cell (subtype unclear)
Memory CD8+ T cell,CD8 T cell (subtype unclear)
Central memory CD8+ T cell,CD8 TCM
Effector CD8 T cell,CD8 TEM
Effector CD8+ T cell,CD8 TEM
Effector CD8+ memory T cell,CD8 TEM
Effector memory CD8 T cell,CD8 TEM
Effector memory CD8+ T cell,CD8 TEM
Revertant memory CD8+ T cell,CD8 TEM
CD16+ dendritic cell,Dendritic cell (subtype unclear)
Conventional dendritic cell,Dendritic cell (subtype unclear)
Dendritic cell,Dendritic cell (subtype unclear)
Monocyte derived dendritic cell,Dendritic cell (subtype unclear)
Myeloid dendritic cell,Dendritic cell (subtype unclear)
Erythrocyte,Eryth
Erythroid cell,Eryth
Red blood cell,Eryth
Circulating progenitor cell,HSPC
Granulocyte-monocyte progenitor,HSPC
Hematopoietic progenitor cell,HSPC
Hematopoietic stem cell,HSPC
Hematopoietic stem progenitor cell,HSPC
Progenitor cell,HSPC
Innate lymphoid cell,ILC
CD8+ mucosal-associated invariant T cell,MAIT
Mucosa-associated invariant T cell,MAIT
Mucosal-associated invariant T cell,MAIT
CD14+ CD16+ monocyte,Monocyte (subtype unclear)
Intermediate monocyte,Monocyte (subtype unclear)
Monocyte,Monocyte (subtype unclear)
CD16 bright CD56 dim natural killer cell,NK
CD56+ natural killer cell,NK
CD56-dim natural killer cell,NK
CD56dim NK cell,NK
CD56dim natural killer cell,NK
NK cell,NK
Natural killer cell,NK
Proliferative NK cell,NK Proliferating
CD16 dim CD56 bright natural killer cell,NK_CD56bright
CD56-bright natural killer cell,NK_CD56bright
CD56bright NK cell,NK_CD56bright
CD56bright natural killer cell,NK_CD56bright
Natural killer CD56 bright cell,NK_CD56bright
Astrocyte,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Basophil,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Beta cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Chondrocyte,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Endothelial cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Endothelial progenitor cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Eosinophil,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Epithelial cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Fibroblast,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Granulocyte,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Granulocytic myeloid-derived suppressor cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Immature neutrophil,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
M1 macrophage,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
M2 macrophage,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Macrophage,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Mast cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Mature neutrophil,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Mesenchymal cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Mesenchymal stem cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Mesenchymal stromal cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Neuron,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Neutrophil,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Polymorphonuclear myeloid-derived suppressor cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Pro-inflammatory macrophage,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Stromal cell,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Tissue resident macrophage,"Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"
Antibody-secreting cell,Plasmablast
Plasma cell,Plasmablast
Plasmablast,Plasmablast
Megakaryocyte,Platelet
Megakaryocyte progenitor cell,Platelet
Platelet,Platelet
Cycling T cell,Proliferating lymphocyte (lineage unclear)
Cycling cell,Proliferating lymphocyte (lineage unclear)
Proliferating T cell,Proliferating lymphocyte (lineage unclear)
Proliferative T cell,Proliferating lymphocyte (lineage unclear)
Proliferative cell,Proliferating lymphocyte (lineage unclear)
Proliferative lymphocyte,Proliferating lymphocyte (lineage unclear)
Central memory T cell,T cell (CD4/CD8/other unclear)
Conventional T cell,T cell (CD4/CD8/other unclear)
Effector T cell,T cell (CD4/CD8/other unclear)
Effector memory T cell,T cell (CD4/CD8/other unclear)
Memory T cell,T cell (CD4/CD8/other unclear)
Naive T cell,T cell (CD4/CD8/other unclear)
Natural killer T cell,T cell (CD4/CD8/other unclear)
T cell,T cell (CD4/CD8/other unclear)
Effector regulatory T cell,Treg
Follicular regulatory T cell,Treg
Natural regulatory T cell,Treg
Regulatory CD4+ T cell,Treg
Regulatory T cell,Treg
Conventional dendritic cell 1,cDC1
Conventional dendritic cell 2,cDC2
Double-negative T cell,dnT
Gamma delta T cell,gdT
Gamma-delta T cell,gdT
Plasmacytoid dendritic cell,pDC
