condition,id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels,n_tool_calls,n_model_calls,latency_s,normalized,score,strict,lineage
plain Claude,hao_cCD4-TCM_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,CD4 TCM,T cells (CD4+ naive/memory),0.9,"{""cell_type"": ""T cells (CD4+ naive/memory)"", ""confidence"": 0.9}",end_turn,170,280,,0.00314,,,,,,,CD4 T cell (subtype unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-TEM_noise_2_r2_symbol,symbol,noise,2,2,0,anthropic,CD4 TEM,CD4+ T cell,0.7,"{""cell_type"": ""CD4+ T cell"", ""confidence"": 0.7}",end_turn,139,29,,0.000568,,,,,,,CD4 T cell (subtype unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-TEM_noise_2_r2_ensembl,ensembl,noise,2,2,0,anthropic,CD4 TEM,CD4+ T cell (naive/memory lymphocyte),0.65,"{""cell_type"": ""CD4+ T cell (naive/memory lymphocyte)"", ""confidence"": 0.65}",end_turn,170,319,,0.00353,,,,,,,CD4 T cell (subtype unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-TEM_noise_6_r1_symbol,symbol,noise,6,1,0,anthropic,CD4 TEM,T cell,0.6,"```json
{""cell_type"": ""T cell"", ""confidence"": 0.6}
```",end_turn,148,29,,0.000586,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-TEM_noise_6_r1_ensembl,ensembl,noise,6,1,0,anthropic,CD4 TEM,T cell (likely CD4+ or CD8+ T lymphocyte),0.55,"```json
{""cell_type"": ""T cell (likely CD4+ or CD8+ T lymphocyte)"", ""confidence"": 0.55}
```",end_turn,170,469,,0.00503,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD8-Naive_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,CD8 Naive,Naive T cell (CD4+ naive T cell),0.6,"```json
{""cell_type"": ""Naive T cell (CD4+ naive T cell)"", ""confidence"": 0.6}
```",end_turn,131,44,,0.000702,,,,,,,CD4 Naive,0.0,0.0,CD8 T
plain Claude,hao_cCD8-Naive_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,CD8 Naive,"Naive T cells (ribosomal protein-high, LEF1+ subset)",0.6,"{""cell_type"": ""Naive T cells (ribosomal protein-high, LEF1+ subset)"", ""confidence"": 0.6}",end_turn,170,405,,0.00439,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-Proliferating_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,CD8 Proliferating,"Proliferating cells (likely cycling lymphocytes/progenitors, marked by proliferation markers such as STMN1, HMGB2, PCNA)",0.6,"{""cell_type"": ""Proliferating cells (likely cycling lymphocytes/progenitors, marked by proliferation markers such as STMN1, HMGB2, PCNA)"", ""confidence"": 0.6}",end_turn,133,73,,0.000996,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-Proliferating_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,CD8 Proliferating,Proliferating lymphocytes (cycling T/B cells),0.65,"{""cell_type"": ""Proliferating lymphocytes (cycling T/B cells)"", ""confidence"": 0.65}",end_turn,170,422,,0.00456,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-Proliferating_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,anthropic,CD8 Proliferating,Proliferating cells (likely cycling lymphocytes/progenitor cells),0.6,"{""cell_type"": ""Proliferating cells (likely cycling lymphocytes/progenitor cells)"", ""confidence"": 0.6}",end_turn,133,48,,0.000746,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-Proliferating_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,anthropic,CD8 Proliferating,Proliferating lymphocytes (cycling T/NK cells),0.65,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK cells)"", ""confidence"": 0.65}",end_turn,170,375,,0.00409,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-TCM_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,CD8 TCM,T cell (likely CD4+ naive/resting T lymphocyte),0.6,"{""cell_type"": ""T cell (likely CD4+ naive/resting T lymphocyte)"", ""confidence"": 0.6}",end_turn,132,45,,0.000714,,,,,,,CD4 Naive,0.0,0.0,CD8 T
plain Claude,hao_cCD8-TCM_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,CD8 TCM,"T cells (likely naive/resting T lymphocytes, based on TRAC and high ribosomal protein gene expression)",0.75,"{""cell_type"": ""T cells (likely naive/resting T lymphocytes, based on TRAC and high ribosomal protein gene expression)"", ""confidence"": 0.75}",end_turn,170,397,,0.00431,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-TEM_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,CD8 TEM,CD8+ cytotoxic/effector memory T cell,0.8,"{""cell_type"": ""CD8+ cytotoxic/effector memory T cell"", ""confidence"": 0.8}",end_turn,103,40,,0.000606,,,,,,,CD8 TEM,1.0,1.0,CD8 T
plain Claude,hao_cCD8-TEM_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,anthropic,CD8 TEM,CD8+ cytotoxic T cell,0.9,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.9}",end_turn,125,163,,0.00188,,,,,,,CD8 T cell (subtype unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-TEM_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,CD8 TEM,CD8+ cytotoxic T cell,0.9,"```json
{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.9}
```",end_turn,127,40,,0.000654,,,,,,,CD8 T cell (subtype unclear),0.5,0.0,CD8 T
plain Claude,hao_cCD8-TEM_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,CD8 TEM,CD8+ cytotoxic T cell,0.9,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.9}",end_turn,170,216,,0.0025,,,,,,,CD8 T cell (subtype unclear),0.5,0.0,CD8 T
plain Claude,hao_cEryth_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,anthropic,Eryth,Erythroid cells (reticulocytes/late erythroid precursors),0.85,"{""cell_type"": ""Erythroid cells (reticulocytes/late erythroid precursors)"", ""confidence"": 0.85}",end_turn,137,138,,0.001654,,,,,,,Eryth,1.0,1.0,other
plain Claude,hao_cEryth_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,anthropic,Eryth,Erythroid cells (reticulocytes/erythroblasts),0.85,"```json
{""cell_type"": ""Erythroid cells (reticulocytes/erythroblasts)"", ""confidence"": 0.85}
```",end_turn,170,507,,0.00541,,,,,,,Eryth,1.0,1.0,other
plain Claude,hao_cHSPC_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,anthropic,HSPC,Hematopoietic stem/progenitor cell (CD34+),0.55,"```json
{""cell_type"": ""Hematopoietic stem/progenitor cell (CD34+)"", ""confidence"": 0.55}
```",end_turn,138,48,,0.000756,,,,,,,HSPC,1.0,1.0,other
plain Claude,hao_cHSPC_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,anthropic,HSPC,Naive T cells,0.45,"```json
{""cell_type"": ""Naive T cells"", ""confidence"": 0.45}
```",end_turn,170,525,,0.00559,,,,,,,T cell (CD4/CD8/other unclear),0.0,0.0,other
plain Claude,hao_cILC_noise_0_r0_symbol,symbol,noise,0,0,0,anthropic,ILC,CD4+ T helper cell (Th2-skewed/activated memory),0.65,"{""cell_type"": ""CD4+ T helper cell (Th2-skewed/activated memory)"", ""confidence"": 0.65}",end_turn,140,248,,0.00276,,,,,,,CD4 TCM,0.0,0.0,other
plain Claude,hao_cILC_noise_0_r0_ensembl,ensembl,noise,0,0,0,anthropic,ILC,CD4+ T cells (memory/Th2-like),0.7,"{""cell_type"": ""CD4+ T cells (memory/Th2-like)"", ""confidence"": 0.7}",end_turn,170,397,,0.00431,,,,,,,CD4 T cell (subtype unclear),0.0,0.0,other
plain Claude,hao_cILC_noise_4_r2_symbol,symbol,noise,4,2,0,anthropic,ILC,CD4+ T helper cells (memory/Th2-like),0.6,"{""cell_type"": ""CD4+ T helper cells (memory/Th2-like)"", ""confidence"": 0.6}",end_turn,140,209,,0.00237,,,,,,,CD4 TCM,0.0,0.0,other
plain Claude,hao_cILC_noise_4_r2_ensembl,ensembl,noise,4,2,0,anthropic,ILC,NK cells (CD161+ SH2D1B+ NK subset),0.55,"{""cell_type"": ""NK cells (CD161+ SH2D1B+ NK subset)"", ""confidence"": 0.55}",end_turn,170,543,,0.00577,,,,,,,NK,0.0,0.0,other
plain Claude,hao_cMAIT_noise_2_r1_symbol,symbol,noise,2,1,0,anthropic,MAIT,"CD8+ memory/effector T cells (GZMK+ KLRB1+ subset, possibly MAIT-like)",0.6,"{""cell_type"": ""CD8+ memory/effector T cells (GZMK+ KLRB1+ subset, possibly MAIT-like)"", ""confidence"": 0.6}",end_turn,141,194,,0.002222,,,,,,,CD8 T cell (subtype unclear),0.0,0.0,other T
plain Claude,hao_cMAIT_noise_2_r1_ensembl,ensembl,noise,2,1,0,anthropic,MAIT,CD8+ memory/effector T cells (KLRB1+ GZMK+ effector memory T cells),0.65,"{""cell_type"": ""CD8+ memory/effector T cells (KLRB1+ GZMK+ effector memory T cells)"", ""confidence"": 0.65}",end_turn,170,405,,0.00439,,,,,,,CD8 TEM,0.0,0.0,other T
plain Claude,hao_cMAIT_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,MAIT,"CD8+ memory/effector T cell (CD161+ GZMK+ subset, possibly MAIT-like)",0.6,"```json
{""cell_type"": ""CD8+ memory/effector T cell (CD161+ GZMK+ subset, possibly MAIT-like)"", ""confidence"": 0.6}
```",end_turn,138,64,,0.000916,,,,,,,CD8 TEM,0.0,0.0,other T
plain Claude,hao_cMAIT_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,MAIT,"CD8+ memory T cells (likely effector memory/MAIT-like, marked by KLRB1, GZMK, IL7R, CD69, CXCR4)",0.6,"{""cell_type"": ""CD8+ memory T cells (likely effector memory/MAIT-like, marked by KLRB1, GZMK, IL7R, CD69, CXCR4)"", ""confidence"": 0.6}",end_turn,170,394,,0.00428,,,,,,,CD8 TEM,0.0,0.0,other T
plain Claude,hao_cNK_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,NK,NK cell (or cytotoxic T cell),0.7,"```json
{""cell_type"": ""NK cell (or cytotoxic T cell)"", ""confidence"": 0.7}
```",end_turn,94,42,,0.000608,,,,,,,NK,1.0,1.0,NK
plain Claude,hao_cNK_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,anthropic,NK,"NK cells (cytotoxic lymphocytes, NK/CD8+ T cell)",0.75,"{""cell_type"": ""NK cells (cytotoxic lymphocytes, NK/CD8+ T cell)"", ""confidence"": 0.75}",end_turn,107,135,,0.001564,,,,,,,NK,1.0,1.0,NK
plain Claude,hao_cNK_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,NK,NK cell (CD56dim/cytotoxic natural killer cell),0.92,"{""cell_type"": ""NK cell (CD56dim/cytotoxic natural killer cell)"", ""confidence"": 0.92}",end_turn,132,45,,0.000714,,,,,,,NK,1.0,1.0,NK
plain Claude,hao_cNK_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,NK,Natural Killer (NK) cells,0.95,"{""cell_type"": ""Natural Killer (NK) cells"", ""confidence"": 0.95}",end_turn,170,400,,0.00434,,,,,,,NK,1.0,1.0,NK
plain Claude,hao_cNK-Proliferating_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,NK Proliferating,"Proliferating cells (likely lymphocyte/hematopoietic progenitor cells in cell cycle, e.g., proliferating T cells or immature progenitors)",0.5,"```json
{""cell_type"": ""Proliferating cells (likely lymphocyte/hematopoietic progenitor cells in cell cycle, e.g., proliferating T cells or immature progenitors)"", ""confidence"": 0.5}
```",end_turn,106,81,,0.001022,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,NK
plain Claude,hao_cNK-Proliferating_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,anthropic,NK Proliferating,"Proliferating lymphocytes (cycling T/NK or progenitor cells, marked by high expression of STMN1, HMGB2, HMGN2, DEK, PTMA - proliferation-associated genes)",0.6,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK or progenitor cells, marked by high expression of STMN1, HMGB2, HMGN2, DEK, PTMA - proliferation-associated genes)"", ""confidence"": 0.6}",end_turn,125,263,,0.00288,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,NK
plain Claude,hao_cNK-CD56bright_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,NK_CD56bright,NK cell,0.9,"{""cell_type"": ""NK cell"", ""confidence"": 0.9}",end_turn,97,25,,0.000444,,,,,,,NK,0.5,0.0,NK
plain Claude,hao_cNK-CD56bright_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,anthropic,NK_CD56bright,Natural Killer (NK) cells,0.9,"{""cell_type"": ""Natural Killer (NK) cells"", ""confidence"": 0.9}",end_turn,107,96,,0.001174,,,,,,,NK,0.5,0.0,NK
plain Claude,hao_cNK-CD56bright_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,anthropic,NK_CD56bright,CD56bright NK cells (natural killer cells),0.85,"{""cell_type"": ""CD56bright NK cells (natural killer cells)"", ""confidence"": 0.85}",end_turn,133,38,,0.000646,,,,,,,NK_CD56bright,1.0,1.0,NK
plain Claude,hao_cNK-CD56bright_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,anthropic,NK_CD56bright,Natural Killer (NK) cells,0.95,"{""cell_type"": ""Natural Killer (NK) cells"", ""confidence"": 0.95}",end_turn,170,435,,0.00469,,,,,,,NK,0.5,0.0,NK
plain Claude,hao_cPlasmablast_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,Plasmablast,Plasma cell (plasmablast),0.85,"{""cell_type"": ""Plasma cell (plasmablast)"", ""confidence"": 0.85}",end_turn,142,34,,0.000624,,,,,,,Plasmablast,1.0,1.0,B
plain Claude,hao_cPlasmablast_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,Plasmablast,Plasma cells,0.4,"{""cell_type"": ""Plasma cells"", ""confidence"": 0.4}",end_turn,170,500,,0.00534,,,,,,,Plasmablast,1.0,1.0,B
plain Claude,hao_cPlasmablast_noise_4_r2_symbol,symbol,noise,4,2,0,anthropic,Plasmablast,Plasma cells,0.9,"{""cell_type"": ""Plasma cells"", ""confidence"": 0.9}",end_turn,144,27,,0.000558,,,,,,,Plasmablast,1.0,1.0,B
plain Claude,hao_cPlasmablast_noise_4_r2_ensembl,ensembl,noise,4,2,0,anthropic,Plasmablast,Plasma cells,0.75,"{""cell_type"": ""Plasma cells"", ""confidence"": 0.75}",end_turn,170,341,,0.00375,,,,,,,Plasmablast,1.0,1.0,B
plain Claude,hao_cPlatelet_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,Platelet,Platelets,0.75,"{""cell_type"": ""Platelets"", ""confidence"": 0.75}",end_turn,85,25,,0.00042,,,,,,,Platelet,1.0,1.0,other
plain Claude,hao_cPlatelet_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,Platelet,Platelets,0.85,"{""cell_type"": ""Platelets"", ""confidence"": 0.85}",end_turn,89,83,,0.001008,,,,,,,Platelet,1.0,1.0,other
plain Claude,hao_cTreg_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,Treg,"Lymphocyte (likely resting T or B cell) - ribosomal protein-high cluster, possibly low-quality/low-complexity cells",0.3,"```json
{""cell_type"": ""Lymphocyte (likely resting T or B cell) - ribosomal protein-high cluster, possibly low-quality/low-complexity cells"", ""confidence"": 0.3}
```",end_turn,131,73,,0.000992,,,,,,,Unknown / low-quality / no cell type given,0.0,0.0,CD4 T
