id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,n_tool_calls,n_model_calls,latency_s
hao_cCD8-TCM_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,CD8 TCM,Naive CD4+ T cell,0.6,"{""cell_type"": ""Naive CD4+ T cell"", ""confidence"": 0.6}",ok,2713,294,,0.008366,1,2,4.2
hao_cCD8-TCM_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,CD8 TCM,T cell (likely naive CD4+ T cell),0.6,"{""cell_type"": ""T cell (likely naive CD4+ T cell)"", ""confidence"": 0.6}",ok,4094,253,,0.010718,1,2,5.0
hao_cB-intermediate_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.85,"This gene signature is dominated by MHC class II genes (HLA-DPB1, CD74, HLA-DQA1, HLA-DPA1, HLA-DRB1) combined with classic B-cell markers (CD22, LINC00926, SWAP70), which together are highly characteristic of B lymphocytes in PBMC data.

```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",ok,2766,372,,0.009252,1,2,4.5
hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.85,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.85}
```",ok,5186,589,,0.016262,2,2,7.5
hao_cCD4-Proliferating_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,CD4 Proliferating,"Proliferating (cycling) lymphocytes, likely proliferative T cells",0.7,"```json
{""cell_type"": ""Proliferating (cycling) lymphocytes, likely proliferative T cells"", ""confidence"": 0.7}
```",ok,2676,269,,0.008042,1,2,4.1
hao_cCD4-Proliferating_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,CD4 Proliferating,"Proliferating lymphocytes (cycling T/NK or plasmablast-like cells, likely proliferating T cells)",0.6,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK or plasmablast-like cells, likely proliferating T cells)"", ""confidence"": 0.6}",ok,4295,474,,0.01333,1,2,7.7
hao_cHSPC_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,anthropic,HSPC,Hematopoietic stem/progenitor cell (CD34+ progenitor),0.7,"{""cell_type"": ""Hematopoietic stem/progenitor cell (CD34+ progenitor)"", ""confidence"": 0.7}",ok,2549,331,,0.008408,1,2,4.6
hao_cHSPC_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,anthropic,HSPC,Hematopoietic stem/progenitor cell (HSPC),0.65,"{""cell_type"": ""Hematopoietic stem/progenitor cell (HSPC)"", ""confidence"": 0.65}",ok,17348,1146,,0.046156,5,5,20.8
hao_cEryth_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,anthropic,Eryth,"Erythrocyte (erythroid lineage cell, e.g. reticulocyte/nucleated erythroid precursor)",0.75,"{""cell_type"": ""Erythrocyte (erythroid lineage cell, e.g. reticulocyte/nucleated erythroid precursor)"", ""confidence"": 0.75}",ok,2696,296,,0.008352,1,2,4.5
hao_cEryth_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,anthropic,Eryth,Erythrocyte (erythroid cell),0.85,"{""cell_type"": ""Erythrocyte (erythroid cell)"", ""confidence"": 0.85}",ok,4631,361,,0.012872,2,2,6.2
hao_cgdT_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,anthropic,gdT,NK cell / cytotoxic CD8+ T cell (cytotoxic lymphocyte),0.6,"{""cell_type"": ""NK cell / cytotoxic CD8+ T cell (cytotoxic lymphocyte)"", ""confidence"": 0.6}",ok,3647,177,,0.009064,1,2,3.7
hao_cgdT_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,anthropic,gdT,Cytotoxic (CD8+/NK) lymphocyte population - likely Effector/Cytotoxic CD8+ T cell or NK cell,0.6,"{""cell_type"": ""Cytotoxic (CD8+/NK) lymphocyte population - likely Effector/Cytotoxic CD8+ T cell or NK cell"", ""confidence"": 0.6}",ok,5941,587,,0.017752,2,2,9.4
hao_cCD4-TCM_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,CD4 TCM,Naive CD4+ T cell,0.7,"{""cell_type"": ""Naive CD4+ T cell"", ""confidence"": 0.7}",ok,2833,182,,0.007486,1,2,3.3
hao_cPlasmablast_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,Plasmablast,Plasma cell,0.9,"{""cell_type"": ""Plasma cell"", ""confidence"": 0.9}",ok,2892,237,,0.008154,1,2,4.2
hao_cPlasmablast_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,Plasmablast,Plasma cell (plasmablast),0.85,"This gene signature strongly suggests plasma cells/plasmablasts: CD38 (classic plasma cell marker), TNFRSF13B (TACI, plasma cell survival receptor), ELL2 (drives plasma cell secretory program), and multiple ER-stress/secretory pathway genes (ERLEC1, SELENOS, SPCS3, PRDX4, CLPTM1L) consistent with high immunoglobulin secretion machinery.

```json
{""cell_type"": ""Plasma cell (plasmablast)"", ""confidence"": 0.85}
```",ok,3804,407,,0.011678,1,2,7.7
hao_cCD8-Naive_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,CD8 Naive,Naive CD4+ T cell,0.6,"{""cell_type"": ""Naive CD4+ T cell"", ""confidence"": 0.6}",ok,2567,180,,0.006934,1,2,3.6
hao_cCD8-Naive_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,CD8 Naive,Naive T cell (CD4+ naive T cell),0.65,"{""cell_type"": ""Naive T cell (CD4+ naive T cell)"", ""confidence"": 0.65}",ok,7842,575,,0.021434,2,3,9.0
hao_cCD4-CTL_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,CD4 CTL,Cytotoxic/effector memory CD8+ T cell,0.6,"{""cell_type"": ""Cytotoxic/effector memory CD8+ T cell"", ""confidence"": 0.6}",ok,2410,138,,0.0062,1,2,4.5
hao_cCD4-CTL_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,CD4 CTL,Cytotoxic/Effector Memory CD8+ T cell,0.6,"```json
{""cell_type"": ""Cytotoxic/Effector Memory CD8+ T cell"", ""confidence"": 0.6}
```",ok,2693,188,,0.007266,2,2,4.7
hao_cPlatelet_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,Platelet,Platelet (Megakaryocyte-derived),0.75,"{""cell_type"": ""Platelet (Megakaryocyte-derived)"", ""confidence"": 0.75}",ok,2045,147,,0.00556,1,2,3.7
hao_cPlatelet_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,Platelet,Megakaryocyte,0.7,"{""cell_type"": ""Megakaryocyte"", ""confidence"": 0.7}",ok,2366,190,,0.006632,2,2,4.3
hao_cCD14-Mono_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,CD14 Mono,CD14+ monocyte,0.75,"{""cell_type"": ""CD14+ monocyte"", ""confidence"": 0.75}",ok,2166,140,,0.005732,1,2,3.1
hao_cCD14-Mono_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,CD14 Mono,CD14+ monocyte,0.75,"{""cell_type"": ""CD14+ monocyte"", ""confidence"": 0.75}",ok,2453,173,,0.006636,2,2,4.2
hao_cNK_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,NK,Natural killer (NK) cell / cytotoxic lymphocyte (NK or CD8+ cytotoxic T cell),0.65,"{""cell_type"": ""Natural killer (NK) cell / cytotoxic lymphocyte (NK or CD8+ cytotoxic T cell)"", ""confidence"": 0.65}",ok,2933,162,,0.007486,1,2,3.4
hao_cNK_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,anthropic,NK,Natural killer (NK) cell / cytotoxic lymphocyte,0.7,"{""cell_type"": ""Natural killer (NK) cell / cytotoxic lymphocyte"", ""confidence"": 0.7}",ok,3638,316,,0.010436,2,2,5.6
hao_cB-memory_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,B memory,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",ok,2556,117,,0.006282,1,2,3.0
hao_cB-memory_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,anthropic,B memory,B cell,0.97,"These three genes (MS4A1/CD20, BANK1, CD79A) are canonical, highly specific B lymphocyte markers.

```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",ok,2623,225,,0.007496,1,2,4.8
hao_cNK-CD56bright_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,NK_CD56bright,Natural killer (NK) cell,0.85,"{""cell_type"": ""Natural killer (NK) cell"", ""confidence"": 0.85}",ok,2953,127,,0.007176,1,2,4.3
hao_cNK-CD56bright_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,anthropic,NK_CD56bright,Natural killer (NK) cell,0.9,"{""cell_type"": ""Natural killer (NK) cell"", ""confidence"": 0.9}",ok,2635,200,,0.00727,1,2,5.9
hao_ccDC1_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,cDC1,Conventional (myeloid) dendritic cell,0.75,"```json
{""cell_type"": ""Conventional (myeloid) dendritic cell"", ""confidence"": 0.75}
```

**Rationale:** CD74, HLA-DPA1, and HLA-DPB1 are classic MHC class II antigen-presentation genes, strongly enriched in professional antigen-presenting cells (dendritic cells and B cells). WDFY4 and C1orf54 (C1ORF54) are well-documented, relatively specific markers of conventional dendritic cells (particularly cDC1s) in human blood transcriptomic studies, even though they show weaker signal in the CellMarker database. The combination of high MHC-II expression with WDFY4/C1orf54 rather than B-cell-specific markers (e.g., CD19, CD79A) points away from B cells and toward a dendritic cell population.",ok,2614,583,,0.011058,1,2,6.9
hao_ccDC1_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,anthropic,cDC1,"Conventional dendritic cell (myeloid DC, likely cDC1 subset)",0.65,"{""cell_type"": ""Conventional dendritic cell (myeloid DC, likely cDC1 subset)"", ""confidence"": 0.65}",ok,5994,796,,0.019948,2,3,11.0
hao_cNK-Proliferating_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,anthropic,NK Proliferating,"Proliferating lymphocytes (cycling T/NK or progenitor cells, marked by high proliferation/chromatin genes STMN1, DEK, HMGB2, PTMA, HMGN2)",0.55,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK or progenitor cells, marked by high proliferation/chromatin genes STMN1, DEK, HMGB2, PTMA, HMGN2)"", ""confidence"": 0.55}",ok,3324,415,,0.010798,2,2,5.9
hao_cCD8-TEM_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,CD8 TEM,Cytotoxic CD8+ T cell (effector/memory CD8+ T cell),0.85,"{""cell_type"": ""Cytotoxic CD8+ T cell (effector/memory CD8+ T cell)"", ""confidence"": 0.85}",ok,4063,238,,0.010506,1,2,3.7
hao_cCD8-TEM_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,anthropic,CD8 TEM,CD8+ cytotoxic T cell,0.85,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.85}",ok,3013,279,,0.008816,1,2,5.5
hao_cpDC_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,anthropic,pDC,Plasmacytoid dendritic cell (pDC),0.97,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.97}",ok,2872,238,,0.008124,1,2,4.0
hao_cpDC_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,anthropic,pDC,Plasmacytoid dendritic cell (pDC),0.97,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.97}",ok,3989,202,,0.009998,1,2,4.3
hao_ccDC2_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,anthropic,cDC2,"Myeloid dendritic cell (conventional DC, cDC2)",0.85,"{""cell_type"": ""Myeloid dendritic cell (conventional DC, cDC2)"", ""confidence"": 0.85}",ok,2754,191,,0.007418,1,2,4.2
hao_ccDC2_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,anthropic,cDC2,Conventional (myeloid) dendritic cell,0.75,"{""cell_type"": ""Conventional (myeloid) dendritic cell"", ""confidence"": 0.75}",ok,4617,692,,0.016154,1,2,11.3
hao_cCD4-Naive_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,anthropic,CD4 Naive,"T cell (lymphocyte, likely naive/resting T cell population marked by high ribosomal protein gene expression)",0.35,"{""cell_type"": ""T cell (lymphocyte, likely naive/resting T cell population marked by high ribosomal protein gene expression)"", ""confidence"": 0.35}",ok,2458,285,,0.007766,1,2,5.1
hao_cCD4-Naive_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,anthropic,CD4 Naive,"Lymphocyte (likely naive T or B cell) — cluster defined mainly by high ribosomal protein gene expression (RPL/RPS genes), which is not highly cell-type-specific",0.3,"{""cell_type"": ""Lymphocyte (likely naive T or B cell) — cluster defined mainly by high ribosomal protein gene expression (RPL/RPS genes), which is not highly cell-type-specific"", ""confidence"": 0.3}",ok,1021,415,,0.006192,0,1,5.7
hao_cASDC_noise_0_r0_symbol,symbol,noise,0,0,0,anthropic,ASDC,Plasmacytoid dendritic cell,0.85,"{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.85}",ok,2565,176,,0.00689,1,2,3.4
hao_cASDC_noise_0_r0_ensembl,ensembl,noise,0,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.92,"LILRA4 and PLD4 are highly specific markers for plasmacytoid dendritic cells (pDCs), and IRF8 is a master transcription factor for pDC development. SAMHD1, CST3, and S100A10 are also consistent with pDC signatures reported in PBMC scRNA-seq studies.

```json
{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.92}
```",ok,4067,356,,0.011694,1,2,7.5
hao_cCD16-Mono_noise_0_r0_symbol,symbol,noise,0,0,0,anthropic,CD16 Mono,CD16+ (non-classical) monocyte,0.92,"{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.92}",ok,2753,205,,0.007556,1,2,3.9
hao_cCD16-Mono_noise_0_r0_ensembl,ensembl,noise,0,0,0,anthropic,CD16 Mono,CD16+ (non-classical) monocyte,0.9,"{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.9}",ok,4982,577,,0.015734,2,2,7.5
hao_cILC_noise_0_r0_symbol,symbol,noise,0,0,0,anthropic,ILC,Memory CD4+ T cell,0.65,"{""cell_type"": ""Memory CD4+ T cell"", ""confidence"": 0.65}",ok,4018,301,,0.011046,1,2,4.5
hao_cILC_noise_0_r0_ensembl,ensembl,noise,0,0,0,anthropic,ILC,Memory CD4+ T cell,0.65,"{""cell_type"": ""Memory CD4+ T cell"", ""confidence"": 0.65}",ok,6030,412,,0.01618,2,2,6.0
hao_cMAIT_noise_2_r1_symbol,symbol,noise,2,1,0,anthropic,MAIT,Mucosal-associated invariant T (MAIT) cell,0.65,"{""cell_type"": ""Mucosal-associated invariant T (MAIT) cell"", ""confidence"": 0.65}",ok,4258,364,,0.012156,1,2,4.6
hao_cMAIT_noise_2_r1_ensembl,ensembl,noise,2,1,0,anthropic,MAIT,CD8+ effector memory / GZMK+ memory T cell,0.6,"This gene set (KLRB1, IL7R, GZMK, DUSP2, CD69, CXCR4, NCR3) is a classic signature of memory/effector CD8+ T cells with NK-like features (MAIT-like), commonly annotated as CD8+ effector memory or CD8+ GZMK+ T cells in PBMC datasets.

```json
{""cell_type"": ""CD8+ effector memory / GZMK+ memory T cell"", ""confidence"": 0.6}
```",ok,3921,492,,0.012762,1,2,7.5
hao_cCD4-TEM_noise_2_r2_symbol,symbol,noise,2,2,0,anthropic,CD4 TEM,Memory CD4+ T cell,0.75,"{""cell_type"": ""Memory CD4+ T cell"", ""confidence"": 0.75}",ok,3144,159,,0.007878,1,2,3.3
hao_cB-naive_noise_2_r1_symbol,symbol,noise,2,1,0,anthropic,B naive,Naive B cell,0.9,"{""cell_type"": ""Naive B cell"", ""confidence"": 0.9}",ok,3401,144,,0.008242,1,2,3.1
hao_cB-naive_noise_2_r1_ensembl,ensembl,noise,2,1,0,anthropic,B naive,Naive B cell,0.9,"{""cell_type"": ""Naive B cell"", ""confidence"": 0.9}",ok,3893,237,,0.010156,1,2,5.0
hao_cPlasmablast_noise_4_r2_symbol,symbol,noise,4,2,0,anthropic,Plasmablast,Plasma cells (antibody-secreting B cells),0.95,"{""cell_type"": ""Plasma cells (antibody-secreting B cells)"", ""confidence"": 0.95}",ok,2918,179,,0.007626,1,2,4.2
hao_cPlasmablast_noise_4_r2_ensembl,ensembl,noise,4,2,0,anthropic,Plasmablast,Plasma cells,0.9,"{""cell_type"": ""Plasma cells"", ""confidence"": 0.9}",ok,3725,189,,0.00934,1,2,4.4
hao_cB-naive_noise_4_r2_symbol,symbol,noise,4,2,0,anthropic,B naive,Naive B cell,0.85,"{""cell_type"": ""Naive B cell"", ""confidence"": 0.85}",ok,2963,183,,0.007756,1,2,3.2
hao_cB-naive_noise_4_r2_ensembl,ensembl,noise,4,2,0,anthropic,B naive,Naive B cell,0.85,"This gene set is dominated by classic B-lymphocyte markers: IGHD and IGHM (immunoglobulin heavy chain constant regions expressed on naive/mature B cells), CD79B (B-cell receptor component), CD37 (pan-B-cell tetraspanin), BANK1 (B-cell-specific scaffold protein), and TCL1A (highly expressed in naive B cells). The combination of IGHD + TCL1A + BANK1 + CD79B strongly indicates a **naive B cell** population (IGHD/IGHM co-expression without extensive class-switching, high TCL1A which is characteristic of naive rather than memory B cells).

```json
{""cell_type"": ""Naive B cell"", ""confidence"": 0.85}
```",ok,4099,644,,0.014638,1,2,8.8
hao_cILC_noise_4_r2_symbol,symbol,noise,4,2,0,anthropic,ILC,CD4+ memory T helper cell (Th2-skewed),0.55,"{""cell_type"": ""CD4+ memory T helper cell (Th2-skewed)"", ""confidence"": 0.55}",ok,3315,590,,0.01253,1,2,7.1
hao_cILC_noise_4_r2_ensembl,ensembl,noise,4,2,0,anthropic,ILC,"CD4+ memory T cell (Th2/Th17-like, CD161+)",0.55,"{""cell_type"": ""CD4+ memory T cell (Th2/Th17-like, CD161+)"", ""confidence"": 0.55}",ok,8101,626,,0.022462,2,3,10.1
hao_cCD4-TEM_noise_6_r1_symbol,symbol,noise,6,1,0,anthropic,CD4 TEM,Memory CD4+ T cell,0.55,"Based on the marker profile—particularly IL32 (a classic T-cell/NK activation marker enriched in memory CD4+ T cells) along with ribosomal protein genes (RPS29, RPS3, RPS25) and generic housekeeping transcripts typical of lymphocytes—this cluster most likely represents a T cell population, with memory CD4+ T cell being the strongest specific match.

```json
{""cell_type"": ""Memory CD4+ T cell"", ""confidence"": 0.55}
```",ok,3906,460,,0.012412,2,2,6.6
hao_cCD4-TEM_noise_6_r1_ensembl,ensembl,noise,6,1,0,anthropic,CD4 TEM,Memory CD4+ T cell,0.6,"{""cell_type"": ""Memory CD4+ T cell"", ""confidence"": 0.6}",ok,6858,351,,0.017226,2,3,7.5
hao_cdnT_noise_6_r2_symbol,symbol,noise,6,2,0,anthropic,dnT,"T cell (CD3D+ subset, likely naive CD4+/CD8+ T cell)",0.6,"{""cell_type"": ""T cell (CD3D+ subset, likely naive CD4+/CD8+ T cell)"", ""confidence"": 0.6}",ok,3156,226,,0.008572,1,2,3.6
hao_cdnT_noise_6_r2_ensembl,ensembl,noise,6,2,0,anthropic,dnT,T cell,0.75,"{""cell_type"": ""T cell"", ""confidence"": 0.75}",ok,3623,186,,0.009106,1,2,4.9
hao_cCD4-CTL_noise_6_r2_symbol,symbol,noise,6,2,0,anthropic,CD4 CTL,T cell (CD3G+/CD2+ memory CD4 T cell),0.7,"{""cell_type"": ""T cell (CD3G+/CD2+ memory CD4 T cell)"", ""confidence"": 0.7}",ok,3215,171,,0.00814,1,2,3.4
hao_cCD4-CTL_noise_6_r2_ensembl,ensembl,noise,6,2,0,anthropic,CD4 CTL,T cell,0.85,"{""cell_type"": ""T cell"", ""confidence"": 0.85}",ok,3788,185,,0.009426,1,2,4.7
hao_cNK_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,NK,Natural killer (NK) cell,0.97,"{""cell_type"": ""Natural killer (NK) cell"", ""confidence"": 0.97}",ok,2404,110,,0.005908,1,2,3.0
hao_cNK_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,NK,Natural killer (NK) cell,0.95,"{""cell_type"": ""Natural killer (NK) cell"", ""confidence"": 0.95}",ok,4088,419,,0.012366,1,2,6.2
hao_ccDC1_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,cDC1,Conventional dendritic cell type 1 (cDC1),0.9,"This gene combination is highly characteristic: MHC class II genes (CD74, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DQB1, SNX3) indicate professional antigen-presenting cells, while CLEC9A, WDFY4, C1orf54, and CPVL are well-established specific markers of conventional dendritic cell type 1 (cDC1), a rare DC subset specialized in cross-presentation to CD8+ T cells.

```json
{""cell_type"": ""Conventional dendritic cell type 1 (cDC1)"", ""confidence"": 0.9}
```",ok,2738,388,,0.009356,1,2,6.4
hao_ccDC1_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,cDC1,"Conventional dendritic cell 1 (cDC1, CLEC9A+ dendritic cell)",0.85,"This confirms it: CLEC9A ranks #1 marker for Conventional dendritic cell 1 (cDC1), CPVL and CD74 are also associated with dendritic cells, and the strong HLA class II signature is consistent with professional antigen-presenting cells.

```json
{""cell_type"": ""Conventional dendritic cell 1 (cDC1, CLEC9A+ dendritic cell)"", ""confidence"": 0.85}
```",ok,8039,864,,0.024718,2,3,11.8
hao_cMAIT_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,MAIT,CD8+ memory/effector T cell (GZMK+ CD8 Tem),0.65,"This gene set (KLRB1, IL7R, GZMK, CD69, DUSP2, CXCR4, ZFP36L2) strongly suggests memory/effector T lymphocytes with cytotoxic potential — the classic signature of CD8+ memory T cells (or MAIT/CD8 effector memory), given GZMK+KLRB1+IL7R co-expression.

```json
{""cell_type"": ""CD8+ memory/effector T cell (GZMK+ CD8 Tem)"", ""confidence"": 0.65}
```",ok,4201,530,,0.013702,1,2,7.9
hao_cCD4-TCM_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,CD4 TCM,Naive CD4+ T cell,0.85,"{""cell_type"": ""Naive CD4+ T cell"", ""confidence"": 0.85}",ok,2447,161,,0.006504,1,2,3.1
hao_cCD4-TCM_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,CD4 TCM,Naive CD4+ T cell,0.85,"{""cell_type"": ""Naive CD4+ T cell"", ""confidence"": 0.85}",ok,4303,404,,0.012646,1,2,6.4
hao_cCD8-TEM_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,CD8 TEM,Cytotoxic/Effector CD8+ T cell,0.85,"{""cell_type"": ""Cytotoxic/Effector CD8+ T cell"", ""confidence"": 0.85}",ok,5344,233,,0.013018,1,2,3.9
