id,format,truth,predicted,mapped_to,lenient,class,tools_used,truth_support,top_support,top_labels,gene_info_symbols_ok
hao_ccDC1_n_genes_5_r0_symbol,symbol,cDC1,Conventional (myeloid) dendritic cell,Dendritic cell (subtype unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,3,"Dendritic cell (subtype unclear), B cell (subtype unclear), Treg",
hao_cNK-Proliferating_n_genes_5_r0_ensembl,ensembl,NK Proliferating,"Proliferating lymphocytes (cycling T/NK or progenitor cells, marked by high proliferation/chromatin genes STMN1, DEK, HMGB2, PTMA, HMGN2)",Proliferating lymphocyte (lineage unclear),0.5,cellmarker_lacked,"gene_info,cellmarker_gene_to_cell_types",0,0,,True
hao_cCD8-TEM_n_genes_5_r0_symbol,symbol,CD8 TEM,Cytotoxic CD8+ T cell (effector/memory CD8+ T cell),CD8 T cell (subtype unclear),0.5,truth_tied_top,cellmarker_gene_to_cell_types,5,5,"CD8 TEM, CD8 T cell (subtype unclear), T cell (CD4/CD8/other unclear)",
hao_cCD8-TEM_n_genes_5_r0_ensembl,ensembl,CD8 TEM,CD8+ cytotoxic T cell,CD8 T cell (subtype unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_ccDC2_n_genes_10_r0_ensembl,ensembl,cDC2,Conventional (myeloid) dendritic cell,Dendritic cell (subtype unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cCD4-Naive_n_genes_10_r0_symbol,symbol,CD4 Naive,"T cell (lymphocyte, likely naive/resting T cell population marked by high ribosomal protein gene expression)",T cell (CD4/CD8/other unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,3,"dnT, Plasmablast, CD8 T cell (subtype unclear)",
hao_cCD4-Naive_n_genes_10_r0_ensembl,ensembl,CD4 Naive,"Lymphocyte (likely naive T or B cell) — cluster defined mainly by high ribosomal protein gene expression (RPL/RPS genes), which is not highly cell-type-specific",Unknown / low-quality / no cell type given,0.0,no_tool,-,0,0,,
hao_cASDC_noise_0_r0_symbol,symbol,ASDC,Plasmacytoid dendritic cell,pDC,0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,4,"Dendritic cell (subtype unclear), pDC, Monocyte (subtype unclear)",
hao_cASDC_noise_0_r0_ensembl,ensembl,ASDC,Plasmacytoid dendritic cell (pDC),pDC,0.5,no_cellmarker,gene_info,0,0,,True
hao_cILC_noise_0_r0_symbol,symbol,ILC,Memory CD4+ T cell,CD4 T cell (subtype unclear),0.0,truth_below_top,cellmarker_gene_to_cell_types,2,6,"CD4 T cell (subtype unclear), T cell (CD4/CD8/other unclear), NK_CD56bright",
hao_cILC_noise_0_r0_ensembl,ensembl,ILC,Memory CD4+ T cell,CD4 T cell (subtype unclear),0.0,truth_below_top,"gene_info,cellmarker_gene_to_cell_types",2,6,"CD4 T cell (subtype unclear), T cell (CD4/CD8/other unclear), NK_CD56bright",True
hao_cMAIT_noise_2_r1_ensembl,ensembl,MAIT,CD8+ effector memory / GZMK+ memory T cell,CD8 TEM,0.0,no_cellmarker,gene_info,0,0,,True
hao_cCD4-TEM_noise_2_r2_symbol,symbol,CD4 TEM,Memory CD4+ T cell,CD4 T cell (subtype unclear),0.5,truth_below_top,cellmarker_gene_to_cell_types,1,3,"CD4 T cell (subtype unclear), T cell (CD4/CD8/other unclear), CD4 Naive",
hao_cILC_noise_4_r2_symbol,symbol,ILC,CD4+ memory T helper cell (Th2-skewed),CD4 TCM,0.0,truth_below_top,cellmarker_gene_to_cell_types,1,4,"T cell (CD4/CD8/other unclear), CD4 T cell (subtype unclear), NK_CD56bright",
hao_cILC_noise_4_r2_ensembl,ensembl,ILC,"CD4+ memory T cell (Th2/Th17-like, CD161+)",CD4 TCM,0.0,truth_below_top,"gene_info,cellmarker_gene_to_cell_types",1,4,"T cell (CD4/CD8/other unclear), CD4 T cell (subtype unclear), NK_CD56bright",True
hao_cCD4-TEM_noise_6_r1_symbol,symbol,CD4 TEM,Memory CD4+ T cell,CD4 T cell (subtype unclear),0.5,cellmarker_lacked,"cellmarker_gene_to_cell_types,gene_info",0,2,"CD8 T cell (subtype unclear), CD8 TEM, CD4 T cell (subtype unclear)",
hao_cCD4-TEM_noise_6_r1_ensembl,ensembl,CD4 TEM,Memory CD4+ T cell,CD4 T cell (subtype unclear),0.5,cellmarker_lacked,"gene_info,cellmarker_gene_to_cell_types",0,2,"CD8 T cell (subtype unclear), CD8 TEM, CD4 T cell (subtype unclear)",True
hao_cdnT_noise_6_r2_symbol,symbol,dnT,"T cell (CD3D+ subset, likely naive CD4+/CD8+ T cell)",T cell (CD4/CD8/other unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,2,"CD8 Naive, CD4 T cell (subtype unclear), T cell (CD4/CD8/other unclear)",
hao_cdnT_noise_6_r2_ensembl,ensembl,dnT,T cell,T cell (CD4/CD8/other unclear),0.5,no_cellmarker,gene_info,0,0,,ENSG00000235453->TZMP1 (dataset: SMIM27)
hao_cCD4-CTL_noise_6_r2_symbol,symbol,CD4 CTL,T cell (CD3G+/CD2+ memory CD4 T cell),CD4 T cell (subtype unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,3,"CD8 TEM, CD4 T cell (subtype unclear), CD8 T cell (subtype unclear)",
hao_cCD4-CTL_noise_6_r2_ensembl,ensembl,CD4 CTL,T cell,T cell (CD4/CD8/other unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cMAIT_ribo_filter_on_r0_ensembl,ensembl,MAIT,CD8+ memory/effector T cell (GZMK+ CD8 Tem),CD8 TEM,0.0,no_cellmarker,gene_info,0,0,,True
hao_cCD4-TCM_ribo_filter_on_r0_symbol,symbol,CD4 TCM,Naive CD4+ T cell,CD4 Naive,0.5,no_cellmarker,cellmarker_cell_type_markers,0,0,CD4 Naive,
hao_cCD4-TCM_ribo_filter_on_r0_ensembl,ensembl,CD4 TCM,Naive CD4+ T cell,CD4 Naive,0.5,no_cellmarker,gene_info,0,0,,True
hao_cCD8-TEM_ribo_filter_on_r0_ensembl,ensembl,CD8 TEM,CD8+ cytotoxic T cell,CD8 T cell (subtype unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cB-memory_ribo_filter_on_r0_symbol,symbol,B memory,B cell,B cell (subtype unclear),0.5,truth_below_top,cellmarker_gene_to_cell_types,3,7,"B cell (subtype unclear), B naive, B memory",
hao_cB-memory_ribo_filter_on_r0_ensembl,ensembl,B memory,B cell,B cell (subtype unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cCD8-Proliferating_ribo_filter_off_r0_symbol,symbol,CD8 Proliferating,Proliferative lymphocyte (cycling T/NK or progenitor cells),Proliferating lymphocyte (lineage unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,1,Proliferating lymphocyte (lineage unclear),
hao_cCD8-Proliferating_ribo_filter_off_r0_ensembl,ensembl,CD8 Proliferating,Proliferating T cells (cycling lymphocytes),Proliferating lymphocyte (lineage unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_ccDC2_ribo_filter_off_r0_ensembl,ensembl,cDC2,Conventional (myeloid) dendritic cell,Dendritic cell (subtype unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cCD4-Naive_ribo_filter_off_r0_symbol,symbol,CD4 Naive,T cell (likely naive/double-negative T lymphocyte subset),T cell (CD4/CD8/other unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,6,"Plasmablast, dnT, CD8 T cell (subtype unclear)",
hao_cCD4-Naive_ribo_filter_off_r0_ensembl,ensembl,CD4 Naive,Naive/resting T lymphocyte (likely double-negative or naive CD8+ T cell),T cell (CD4/CD8/other unclear),0.5,cellmarker_lacked,"gene_info,cellmarker_gene_to_cell_types",0,6,"Plasmablast, dnT, CD8 T cell (subtype unclear)",True
hao_cNK-CD56bright_ribo_filter_off_r0_ensembl,ensembl,NK_CD56bright,Natural killer (NK) cell,NK,0.5,no_cellmarker,gene_info,0,0,,True
