cluster,rank,gene,ensembl
B intermediate,30,COBLL1,ENSG00000082438
B intermediate,31,BCL11A,ENSG00000119866
B intermediate,32,P2RX5,ENSG00000083454
B intermediate,33,TNFRSF13B,ENSG00000240505
B intermediate,34,ADAM28,ENSG00000042980
B intermediate,35,JUND,ENSG00000130522
B intermediate,36,LINC01857,ENSG00000224137
B intermediate,37,HLA-DMA,ENSG00000204257
B intermediate,38,VPREB3,ENSG00000128218
B intermediate,39,CCDC50,ENSG00000152492
B intermediate,40,FCRL2,ENSG00000132704
B intermediate,41,SNX2,ENSG00000205302
B intermediate,42,MEF2C,ENSG00000081189
B intermediate,43,SP140,ENSG00000079263
B intermediate,44,EZR,ENSG00000092820
B intermediate,45,SPIB,ENSG00000269404
B intermediate,46,RPL13A,ENSG00000142541
B intermediate,47,RPL8,ENSG00000161016
B intermediate,48,STX7,ENSG00000079950
B intermediate,49,ORAI2,ENSG00000160991
B intermediate,50,TSC22D3,ENSG00000157514
B memory,1,MS4A1,ENSG00000156738
B memory,2,BANK1,ENSG00000153064
B memory,3,CD79A,ENSG00000105369
B memory,4,RALGPS2,ENSG00000116191
B memory,5,CD37,ENSG00000104894
B memory,6,TNFRSF13C,ENSG00000159958
B memory,7,CD79B,ENSG00000007312
B memory,8,HLA-DRA,ENSG00000204287
B memory,9,HLA-DPB1,ENSG00000223865
B memory,10,CD74,ENSG00000019582
B memory,11,LINC00926,ENSG00000247982
B memory,12,HLA-DQA1,ENSG00000196735
B memory,13,BLK,ENSG00000136573
B memory,14,HLA-DQB1,ENSG00000179344
B memory,15,LTB,ENSG00000227507
B memory,16,RPS11,ENSG00000142534
B memory,17,RPL13A,ENSG00000142541
B memory,18,HLA-DRB1,ENSG00000196126
B memory,19,AIM2,ENSG00000163568
B memory,20,HLA-DPA1,ENSG00000231389
B memory,21,SWAP70,ENSG00000133789
B memory,22,VPREB3,ENSG00000128218
B memory,23,RPL41,ENSG00000229117
B memory,24,MEF2C,ENSG00000081189
B memory,25,LINC01781,ENSG00000234184
B memory,26,HLA-DMB,ENSG00000242574
B memory,27,MARCHF1,ENSG00000145416
B memory,28,RPL27A,ENSG00000166441
B memory,29,RPLP2,ENSG00000177600
B memory,30,HLA-DRB5,ENSG00000198502
B memory,31,ADAM28,ENSG00000042980
B memory,32,RPS23,ENSG00000186468
B memory,33,RPS20,ENSG00000008988
B memory,34,TNFRSF13B,ENSG00000240505
B memory,35,EZR,ENSG00000092820
B memory,36,P2RX5,ENSG00000083454
B memory,37,RPS27,ENSG00000177954
B memory,38,MARCKS,ENSG00000277443
B memory,39,RPL8,ENSG00000161016
B memory,40,CD22,ENSG00000012124
B memory,41,RPLP1,ENSG00000137818
B memory,42,LY86,ENSG00000112799
B memory,43,SCIMP,ENSG00000161929
B memory,44,HLA-DMA,ENSG00000204257
B memory,45,POU2AF1,ENSG00000110777
B memory,46,IGHA1,ENSG00000211895
B memory,47,IGKC,ENSG00000211592
B memory,48,CD40,ENSG00000101017
B memory,49,IGHG1,ENSG00000211896
B memory,50,TSC22D3,ENSG00000157514
B naive,1,IGHD,ENSG00000211898
B naive,2,IGHM,ENSG00000211899
B naive,3,CD37,ENSG00000104894
B naive,4,CD79A,ENSG00000105369
B naive,5,TCL1A,ENSG00000100721
B naive,6,MS4A1,ENSG00000156738
B naive,7,CD79B,ENSG00000007312
B naive,8,BANK1,ENSG00000153064
B naive,9,CD74,ENSG00000019582
B naive,10,RALGPS2,ENSG00000116191
B naive,11,LINC00926,ENSG00000247982
B naive,12,BTG1,ENSG00000133639
B naive,13,MEF2C,ENSG00000081189
B naive,14,CXCR4,ENSG00000121966
B naive,15,HLA-DRA,ENSG00000204287
B naive,16,HLA-DQB1,ENSG00000179344
B naive,17,CD22,ENSG00000012124
B naive,18,RPL18A,ENSG00000105640
B naive,19,RPS11,ENSG00000142534
B naive,20,HLA-DRB1,ENSG00000196126
B naive,21,TNFRSF13C,ENSG00000159958
B naive,22,HLA-DPB1,ENSG00000223865
B naive,23,HLA-DQA1,ENSG00000196735
B naive,24,HLA-DMB,ENSG00000242574
B naive,25,FCER2,ENSG00000104921
B naive,26,HLA-DPA1,ENSG00000231389
B naive,27,PLPP5,ENSG00000147535
B naive,28,TXNIP,ENSG00000265972
B naive,29,IGKC,ENSG00000211592
B naive,30,VPREB3,ENSG00000128218
B naive,31,AFF3,ENSG00000144218
B naive,32,MARCHF1,ENSG00000145416
B naive,33,SWAP70,ENSG00000133789
B naive,34,FCRL1,ENSG00000163534
B naive,35,IL4R,ENSG00000077238
B naive,36,HVCN1,ENSG00000122986
B naive,37,NCF1,ENSG00000158517
B naive,38,BIRC3,ENSG00000023445
B naive,39,HLA-DRB5,ENSG00000198502
B naive,40,LAPTM5,ENSG00000162511
B naive,41,PAX5,ENSG00000196092
B naive,42,TSC22D3,ENSG00000157514
B naive,43,STX7,ENSG00000079950
B naive,44,RPL8,ENSG00000161016
B naive,45,BCL11A,ENSG00000119866
B naive,46,STRBP,ENSG00000165209
B naive,47,RPS23,ENSG00000186468
B naive,48,HLA-DMA,ENSG00000204257
B naive,49,FAU,ENSG00000149806
B naive,50,SNX2,ENSG00000205302
CD4 CTL,1,GZMH,ENSG00000100450
CD4 CTL,2,FGFBP2,ENSG00000137441
CD4 CTL,3,B2M,ENSG00000166710
CD4 CTL,4,IL32,ENSG00000008517
CD4 CTL,5,NKG7,ENSG00000105374
CD4 CTL,6,CD52,ENSG00000169442
CD4 CTL,7,CST7,ENSG00000077984
CD4 CTL,8,CD3G,ENSG00000160654
CD4 CTL,9,CD2,ENSG00000116824
CD4 CTL,10,CCL5,ENSG00000271503
CD4 CTL,11,S100A4,ENSG00000196154
CD4 CTL,12,GZMA,ENSG00000145649
CD4 CTL,13,MALAT1,ENSG00000251562
CD4 CTL,14,CD3D,ENSG00000167286
CD4 CTL,15,GNLY,ENSG00000115523
CD4 CTL,16,ITGB1,ENSG00000150093
CD4 CTL,17,SYNE2,ENSG00000054654
CD4 CTL,18,CD3E,ENSG00000198851
CD4 CTL,19,SH3BGRL3,ENSG00000142669
CD4 CTL,20,CALM1,ENSG00000198668
CD4 CTL,21,GZMM,ENSG00000197540
CD4 CTL,22,RORA,ENSG00000069667
CD4 CTL,23,PPP2R5C,ENSG00000078304
CD4 CTL,24,TRAC,ENSG00000277734
CD4 CTL,25,HLA-B,ENSG00000234745
CD4 CTL,26,MYBL1,ENSG00000185697
CD4 CTL,27,PRF1,ENSG00000180644
CD4 CTL,28,PTPRC,ENSG00000081237
CD4 CTL,29,EFHD2,ENSG00000142634
CD4 CTL,30,HCST,ENSG00000126264
CD4 CTL,31,HOPX,ENSG00000171476
CD4 CTL,32,HLA-C,ENSG00000204525
CD4 CTL,33,ANXA1,ENSG00000135046
CD4 CTL,34,HLA-A,ENSG00000206503
CD4 CTL,35,TRBC1,ENSG00000211751
CD4 CTL,36,CD99,ENSG00000002586
CD4 CTL,37,ABHD17A,ENSG00000129968
CD4 CTL,38,SYNE1,ENSG00000131018
CD4 CTL,39,ID2,ENSG00000115738
CD4 CTL,40,CD6,ENSG00000013725
CD4 CTL,41,AHNAK,ENSG00000124942
CD4 CTL,42,TMSB4X,ENSG00000205542
CD4 CTL,43,CLEC2D,ENSG00000069493
CD4 CTL,44,SAMD3,ENSG00000164483
CD4 CTL,45,TRGC2,ENSG00000227191
CD4 CTL,46,TRBC2,ENSG00000211772
CD4 CTL,47,IL7R,ENSG00000168685
CD4 CTL,48,MAF,ENSG00000178573
CD4 CTL,49,DSTN,ENSG00000125868
CD4 CTL,50,RAP1B,ENSG00000127314
CD4 Naive,1,RPL30,ENSG00000156482
CD4 Naive,2,RPS13,ENSG00000110700
CD4 Naive,3,RPL21,ENSG00000122026
CD4 Naive,4,RPS27,ENSG00000177954
CD4 Naive,5,RPL32,ENSG00000144713
CD4 Naive,6,RPL9,ENSG00000163682
CD4 Naive,7,RPL13,ENSG00000167526
CD4 Naive,8,RPL35A,ENSG00000182899
CD4 Naive,9,RPS25,ENSG00000118181
CD4 Naive,10,RPL11,ENSG00000142676
CD4 Naive,11,RPS27A,ENSG00000143947
CD4 Naive,12,RPL34,ENSG00000109475
CD4 Naive,13,RPS16,ENSG00000105193
CD4 Naive,14,RPS14,ENSG00000164587
CD4 Naive,15,RPS12,ENSG00000112306
CD4 Naive,16,RPS3A,ENSG00000145425
CD4 Naive,17,RPL38,ENSG00000172809
CD4 Naive,18,RPLP2,ENSG00000177600
CD4 Naive,19,RPS15A,ENSG00000134419
CD4 Naive,20,RPL19,ENSG00000108298
CD4 Naive,21,RPS6,ENSG00000137154
CD4 Naive,22,RPS29,ENSG00000213741
CD4 Naive,23,RPS20,ENSG00000008988
CD4 Naive,24,RPL22,ENSG00000116251
CD4 Naive,25,RPL23,ENSG00000125691
CD4 Naive,26,TPT1,ENSG00000133112
CD4 Naive,27,CCR7,ENSG00000126353
CD4 Naive,28,TCF7,ENSG00000081059
CD4 Naive,29,RPL10,ENSG00000147403
CD4 Naive,30,RPS28,ENSG00000233927
CD4 Naive,31,RPL39,ENSG00000198918
CD4 Naive,32,RPS23,ENSG00000186468
CD4 Naive,33,RPL7,ENSG00000147604
CD4 Naive,34,RPL5,ENSG00000122406
CD4 Naive,35,RPL14,ENSG00000188846
CD4 Naive,36,RPL31,ENSG00000071082
CD4 Naive,37,RPL24,ENSG00000114391
CD4 Naive,38,RPL37,ENSG00000145592
CD4 Naive,39,RPS8,ENSG00000142937
CD4 Naive,40,RPL36,ENSG00000130255
CD4 Naive,41,LEF1,ENSG00000138795
CD4 Naive,42,RPL18,ENSG00000063177
CD4 Naive,43,RPS21,ENSG00000171858
CD4 Naive,44,SARAF,ENSG00000133872
CD4 Naive,45,RPS5,ENSG00000083845
CD4 Naive,46,LDHB,ENSG00000111716
CD4 Naive,47,RPS3,ENSG00000149273
CD4 Naive,48,RPL29,ENSG00000162244
CD4 Naive,49,TOMM7,ENSG00000196683
CD4 Naive,50,RPL27,ENSG00000131469
CD4 Proliferating,1,HMGB2,ENSG00000164104
CD4 Proliferating,2,GAPDH,ENSG00000111640
CD4 Proliferating,3,MKI67,ENSG00000148773
CD4 Proliferating,4,HMGN2,ENSG00000198830
CD4 Proliferating,5,H2AZ1,ENSG00000164032
CD4 Proliferating,6,ACTG1,ENSG00000184009
CD4 Proliferating,7,STMN1,ENSG00000117632
CD4 Proliferating,8,HMGB1,ENSG00000189403
CD4 Proliferating,9,PCLAF,ENSG00000166803
CD4 Proliferating,10,PFN1,ENSG00000108518
CD4 Proliferating,11,TYMS,ENSG00000176890
CD4 Proliferating,12,CFL1,ENSG00000172757
CD4 Proliferating,13,TUBB,ENSG00000196230
CD4 Proliferating,14,TUBA1B,ENSG00000123416
CD4 Proliferating,15,TOP2A,ENSG00000131747
CD4 Proliferating,16,PTTG1,ENSG00000164611
CD4 Proliferating,17,DUT,ENSG00000128951
CD4 Proliferating,18,ANP32B,ENSG00000136938
CD4 Proliferating,19,ACTB,ENSG00000075624
CD4 Proliferating,20,RAN,ENSG00000132341
CD4 Proliferating,21,ANP32E,ENSG00000143401
CD4 Proliferating,22,H2AZ2,ENSG00000105968
CD4 Proliferating,23,SLC25A5,ENSG00000005022
CD4 Proliferating,24,CORO1A,ENSG00000102879
CD4 Proliferating,25,RPA3,ENSG00000106399
CD4 Proliferating,26,CENPF,ENSG00000117724
CD4 Proliferating,27,NUSAP1,ENSG00000137804
CD4 Proliferating,28,LMNB1,ENSG00000113368
CD4 Proliferating,29,JPT1,ENSG00000189159
CD4 Proliferating,30,BIRC5,ENSG00000089685
CD4 Proliferating,31,SMC2,ENSG00000136824
CD4 Proliferating,32,DEK,ENSG00000124795
CD4 Proliferating,33,CENPM,ENSG00000100162
CD4 Proliferating,34,PPIA,ENSG00000196262
CD4 Proliferating,35,CHCHD2,ENSG00000106153
CD4 Proliferating,36,YBX1,ENSG00000065978
CD4 Proliferating,37,ZWINT,ENSG00000122952
CD4 Proliferating,38,TPX2,ENSG00000088325
CD4 Proliferating,39,TMSB10,ENSG00000034510
CD4 Proliferating,40,LDHA,ENSG00000134333
CD4 Proliferating,41,RRM1,ENSG00000167325
CD4 Proliferating,42,MRPL51,ENSG00000111639
CD4 Proliferating,43,SNRPB,ENSG00000125835
CD4 Proliferating,44,TXNDC17,ENSG00000129235
CD4 Proliferating,45,PHF19,ENSG00000119403
CD4 Proliferating,46,ARPC2,ENSG00000163466
CD4 Proliferating,47,ARHGDIB,ENSG00000111348
CD4 Proliferating,48,PPP1CA,ENSG00000172531
CD4 Proliferating,49,LSM4,ENSG00000130520
CD4 Proliferating,50,SMC4,ENSG00000113810
CD4 TCM,1,IL7R,ENSG00000168685
CD4 TCM,2,LTB,ENSG00000227507
CD4 TCM,3,RPL36,ENSG00000130255
CD4 TCM,4,RPS25,ENSG00000118181
CD4 TCM,5,TPT1,ENSG00000133112
CD4 TCM,6,RPS29,ENSG00000213741
CD4 TCM,7,RPL28,ENSG00000108107
CD4 TCM,8,RPL14,ENSG00000188846
CD4 TCM,9,RPL34,ENSG00000109475
CD4 TCM,10,RPL11,ENSG00000142676
CD4 TCM,11,LDHB,ENSG00000111716
CD4 TCM,12,RPL30,ENSG00000156482
CD4 TCM,13,RPL41,ENSG00000229117
CD4 TCM,14,TRAC,ENSG00000277734
CD4 TCM,15,RPL13,ENSG00000167526
CD4 TCM,16,RPS12,ENSG00000112306
CD4 TCM,17,RPL38,ENSG00000172809
CD4 TCM,18,RPL32,ENSG00000144713
CD4 TCM,19,RPL39,ENSG00000198918
CD4 TCM,20,RPS15A,ENSG00000134419
CD4 TCM,21,RPS16,ENSG00000105193
CD4 TCM,22,RPS28,ENSG00000233927
CD4 TCM,23,RPS27A,ENSG00000143947
CD4 TCM,24,RPL9,ENSG00000163682
CD4 TCM,25,RPS6,ENSG00000137154
CD4 TCM,26,RPL10,ENSG00000147403
CD4 TCM,27,RPS18,ENSG00000231500
CD4 TCM,28,RPS20,ENSG00000008988
CD4 TCM,29,RPLP2,ENSG00000177600
CD4 TCM,30,RPL13A,ENSG00000142541
CD4 TCM,31,MAL,ENSG00000172005
CD4 TCM,32,RPS3,ENSG00000149273
CD4 TCM,33,RPL6,ENSG00000089009
CD4 TCM,34,EEF1A1,ENSG00000156508
CD4 TCM,35,RPL37,ENSG00000145592
CD4 TCM,36,RPL24,ENSG00000114391
CD4 TCM,37,RPL35A,ENSG00000182899
CD4 TCM,38,CD3D,ENSG00000167286
CD4 TCM,39,RPL18,ENSG00000063177
CD4 TCM,40,RPS14,ENSG00000164587
CD4 TCM,41,TCF7,ENSG00000081059
CD4 TCM,42,RPL27A,ENSG00000166441
CD4 TCM,43,TRAT1,ENSG00000163519
CD4 TCM,44,RPL19,ENSG00000108298
CD4 TCM,45,RCAN3,ENSG00000117602
CD4 TCM,46,RPLP1,ENSG00000137818
CD4 TCM,47,RPS27,ENSG00000177954
CD4 TCM,48,RPS21,ENSG00000171858
CD4 TCM,49,IL32,ENSG00000008517
CD4 TCM,50,RPL5,ENSG00000122406
CD4 TEM,1,IL7R,ENSG00000168685
CD4 TEM,2,IL32,ENSG00000008517
CD4 TEM,3,LTB,ENSG00000227507
CD4 TEM,4,RPS29,ENSG00000213741
CD4 TEM,5,TRAC,ENSG00000277734
CD4 TEM,6,ZFP36L2,ENSG00000152518
CD4 TEM,7,TPT1,ENSG00000133112
CD4 TEM,8,RPS3,ENSG00000149273
CD4 TEM,9,RPS25,ENSG00000118181
CD4 TEM,10,RPL36,ENSG00000130255
CD4 TEM,11,CD2,ENSG00000116824
CD4 TEM,12,CD69,ENSG00000110848
CD4 TEM,13,RPL41,ENSG00000229117
CD4 TEM,14,RPS27A,ENSG00000143947
CD4 TEM,15,KLRB1,ENSG00000111796
CD4 TEM,16,RPL30,ENSG00000156482
CD4 TEM,17,RPS14,ENSG00000164587
CD4 TEM,18,RPS12,ENSG00000112306
CD4 TEM,19,RPS15A,ENSG00000134419
CD4 TEM,20,CD3E,ENSG00000198851
CD4 TEM,21,SYNE2,ENSG00000054654
CD4 TEM,22,RPL34,ENSG00000109475
CD4 TEM,23,RPL10,ENSG00000147403
CD4 TEM,24,GZMK,ENSG00000113088
CD4 TEM,25,RPL3,ENSG00000100316
CD4 TEM,26,RPL38,ENSG00000172809
CD4 TEM,27,RPL23A,ENSG00000198242
CD4 TEM,28,CD3G,ENSG00000160654
CD4 TEM,29,CD3D,ENSG00000167286
CD4 TEM,30,RPL14,ENSG00000188846
CD4 TEM,31,KLF2,ENSG00000127528
CD4 TEM,32,RPS28,ENSG00000233927
CD4 TEM,33,RPL13,ENSG00000167526
CD4 TEM,34,EEF1A1,ENSG00000156508
CD4 TEM,35,RPS27,ENSG00000177954
CD4 TEM,36,LDHB,ENSG00000111716
CD4 TEM,37,RPLP2,ENSG00000177600
CD4 TEM,38,RORA,ENSG00000069667
CD4 TEM,39,LYAR,ENSG00000145220
CD4 TEM,40,RPL36AL,ENSG00000165502
CD4 TEM,41,CXCR4,ENSG00000121966
CD4 TEM,42,TOMM7,ENSG00000196683
CD4 TEM,43,RPL35A,ENSG00000182899
CD4 TEM,44,RPSA,ENSG00000168028
CD4 TEM,45,RPL9,ENSG00000163682
CD4 TEM,46,TNFAIP3,ENSG00000118503
CD4 TEM,47,RPL39,ENSG00000198918
CD4 TEM,48,PIK3R1,ENSG00000145675
CD4 TEM,49,JUNB,ENSG00000171223
CD4 TEM,50,RPL11,ENSG00000142676
CD8 Naive,1,CD8B,ENSG00000172116
CD8 Naive,2,RPS12,ENSG00000112306
CD8 Naive,3,RPL13,ENSG00000167526
CD8 Naive,4,RPL32,ENSG00000144713
CD8 Naive,5,RPS13,ENSG00000110700
CD8 Naive,6,RPS6,ENSG00000137154
CD8 Naive,7,RPS28,ENSG00000233927
CD8 Naive,8,RPL21,ENSG00000122026
CD8 Naive,9,RPL9,ENSG00000163682
CD8 Naive,10,RPS16,ENSG00000105193
CD8 Naive,11,RPL30,ENSG00000156482
CD8 Naive,12,RPL34,ENSG00000109475
CD8 Naive,13,RPS3A,ENSG00000145425
CD8 Naive,14,RPL19,ENSG00000108298
CD8 Naive,15,RPS25,ENSG00000118181
CD8 Naive,16,RPS14,ENSG00000164587
CD8 Naive,17,RPLP2,ENSG00000177600
CD8 Naive,18,RPL28,ENSG00000108107
CD8 Naive,19,RPS18,ENSG00000231500
CD8 Naive,20,RPL22,ENSG00000116251
CD8 Naive,21,RPL35A,ENSG00000182899
CD8 Naive,22,RPL14,ENSG00000188846
CD8 Naive,23,RPS5,ENSG00000083845
CD8 Naive,24,RPL38,ENSG00000172809
CD8 Naive,25,RPL12,ENSG00000197958
CD8 Naive,26,RPS15A,ENSG00000134419
CD8 Naive,27,RPS27A,ENSG00000143947
CD8 Naive,28,RPL10,ENSG00000147403
CD8 Naive,29,RPS21,ENSG00000171858
CD8 Naive,30,RPL11,ENSG00000142676
CD8 Naive,31,RPL18,ENSG00000063177
CD8 Naive,32,RPS29,ENSG00000213741
CD8 Naive,33,RPL7,ENSG00000147604
CD8 Naive,34,RPS8,ENSG00000142937
CD8 Naive,35,RPS15,ENSG00000115268
CD8 Naive,36,RPLP1,ENSG00000137818
CD8 Naive,37,LEF1,ENSG00000138795
CD8 Naive,38,RPL37,ENSG00000145592
CD8 Naive,39,RPL36,ENSG00000130255
CD8 Naive,40,RPL39,ENSG00000198918
CD8 Naive,41,RPL5,ENSG00000122406
CD8 Naive,42,RPS23,ENSG00000186468
CD8 Naive,43,CD8A,ENSG00000153563
CD8 Naive,44,RPS3,ENSG00000149273
CD8 Naive,45,RPS20,ENSG00000008988
CD8 Naive,46,RPL31,ENSG00000071082
CD8 Naive,47,RPS19,ENSG00000105372
CD8 Naive,48,RPL29,ENSG00000162244
CD8 Naive,49,RPL23,ENSG00000125691
CD8 Naive,50,EEF1B2,ENSG00000114942
CD8 Proliferating,1,STMN1,ENSG00000117632
CD8 Proliferating,2,HMGB2,ENSG00000164104
CD8 Proliferating,3,DEK,ENSG00000124795
CD8 Proliferating,4,TUBA1B,ENSG00000123416
CD8 Proliferating,5,PCNA,ENSG00000132646
CD8 Proliferating,6,DUT,ENSG00000128951
CD8 Proliferating,7,GAPDH,ENSG00000111640
CD8 Proliferating,8,HMGN2,ENSG00000198830
CD8 Proliferating,9,PFN1,ENSG00000108518
CD8 Proliferating,10,CFL1,ENSG00000172757
CD8 Proliferating,11,TUBB,ENSG00000196230
CD8 Proliferating,12,GZMH,ENSG00000100450
CD8 Proliferating,13,HELLS,ENSG00000119969
CD8 Proliferating,14,PCLAF,ENSG00000166803
CD8 Proliferating,15,CD8A,ENSG00000153563
CD8 Proliferating,16,H2AZ1,ENSG00000164032
CD8 Proliferating,17,NUCKS1,ENSG00000069275
CD8 Proliferating,18,H2AZ2,ENSG00000105968
CD8 Proliferating,19,MCM4,ENSG00000104738
CD8 Proliferating,20,TYMS,ENSG00000176890
CD8 Proliferating,21,HMGB1,ENSG00000189403
CD8 Proliferating,22,NASP,ENSG00000132780
CD8 Proliferating,23,LCP1,ENSG00000136167
CD8 Proliferating,24,PPIA,ENSG00000196262
CD8 Proliferating,25,LDHA,ENSG00000134333
CD8 Proliferating,26,SNRPB,ENSG00000125835
CD8 Proliferating,27,RPA3,ENSG00000106399
CD8 Proliferating,28,HNRNPA2B1,ENSG00000122566
CD8 Proliferating,29,RAN,ENSG00000132341
CD8 Proliferating,30,CALM1,ENSG00000198668
CD8 Proliferating,31,MCM7,ENSG00000166508
CD8 Proliferating,32,CLSPN,ENSG00000092853
CD8 Proliferating,33,DNMT1,ENSG00000130816
CD8 Proliferating,34,PTMA,ENSG00000187514
CD8 Proliferating,35,MCM5,ENSG00000100297
CD8 Proliferating,36,MKI67,ENSG00000148773
CD8 Proliferating,37,IDH2,ENSG00000182054
CD8 Proliferating,38,CD99,ENSG00000002586
CD8 Proliferating,39,SMC2,ENSG00000136824
CD8 Proliferating,40,IL32,ENSG00000008517
CD8 Proliferating,41,CHEK1,ENSG00000149554
CD8 Proliferating,42,CD8B,ENSG00000172116
CD8 Proliferating,43,MCM3,ENSG00000112118
CD8 Proliferating,44,GZMA,ENSG00000145649
CD8 Proliferating,45,SMC3,ENSG00000108055
CD8 Proliferating,46,XRCC5,ENSG00000079246
CD8 Proliferating,47,COX8A,ENSG00000176340
CD8 Proliferating,48,YWHAQ,ENSG00000134308
CD8 Proliferating,49,RANBP1,ENSG00000099901
CD8 Proliferating,50,EBP,ENSG00000147155
CD8 TCM,1,IL7R,ENSG00000168685
CD8 TCM,2,CD8B,ENSG00000172116
CD8 TCM,3,RPS12,ENSG00000112306
CD8 TCM,4,RPS29,ENSG00000213741
CD8 TCM,5,RPS25,ENSG00000118181
CD8 TCM,6,CD8A,ENSG00000153563
CD8 TCM,7,TPT1,ENSG00000133112
CD8 TCM,8,RPL36,ENSG00000130255
CD8 TCM,9,RPS3,ENSG00000149273
CD8 TCM,10,RPS18,ENSG00000231500
CD8 TCM,11,RPL34,ENSG00000109475
CD8 TCM,12,RPL13,ENSG00000167526
CD8 TCM,13,RPLP2,ENSG00000177600
CD8 TCM,14,TRAC,ENSG00000277734
CD8 TCM,15,RPL38,ENSG00000172809
CD8 TCM,16,RPL14,ENSG00000188846
CD8 TCM,17,RPL32,ENSG00000144713
CD8 TCM,18,RPL13A,ENSG00000142541
CD8 TCM,19,LDHB,ENSG00000111716
CD8 TCM,20,RPL39,ENSG00000198918
CD8 TCM,21,RPL28,ENSG00000108107
CD8 TCM,22,RPS6,ENSG00000137154
CD8 TCM,23,RPS28,ENSG00000233927
CD8 TCM,24,RPS14,ENSG00000164587
CD8 TCM,25,RPL37,ENSG00000145592
CD8 TCM,26,RPS15A,ENSG00000134419
CD8 TCM,27,RPL41,ENSG00000229117
CD8 TCM,28,RPL27A,ENSG00000166441
CD8 TCM,29,RPS16,ENSG00000105193
CD8 TCM,30,RPL30,ENSG00000156482
CD8 TCM,31,NOSIP,ENSG00000142546
CD8 TCM,32,RPL23A,ENSG00000198242
CD8 TCM,33,RPL9,ENSG00000163682
CD8 TCM,34,TCF7,ENSG00000081059
CD8 TCM,35,EEF1A1,ENSG00000156508
CD8 TCM,36,SARAF,ENSG00000133872
