gene,ensembl
MINOS1-NBL1,ENSG00000270136
MINOS1,ENSG00000173436
NBL1,ENSG00000158747
TMCO4,ENSG00000162542
OTUD3,ENSG00000169914
UBXN10-AS1,ENSG00000225986
UBXN10,ENSG00000162543
CAMK2N1,ENSG00000162545
MUL1,ENSG00000090432
CDA,ENSG00000158825
PINK1,ENSG00000158828
PINK1-AS,ENSG00000117242
DDOST,ENSG00000244038
HP1BP3,ENSG00000127483
RP5-930J4.4,ENSG00000203394
EIF4G3,ENSG00000075151
ECE1,ENSG00000117298
RP3-329E20.2,ENSG00000236936
NBPF3,ENSG00000142794
ALPL,ENSG00000162551
USP48,ENSG00000090686
HSPG2,ENSG00000142798
RP1-224A6.3,ENSG00000228397
LINC00339,ENSG00000218510
CDC42,ENSG00000070831
ZBTB40,ENSG00000184677
C1QA,ENSG00000173372
C1QC,ENSG00000159189
C1QB,ENSG00000173369
EPHB2,ENSG00000133216
KDM1A,ENSG00000004487
LUZP1,ENSG00000169641
RP5-1057J7.6,ENSG00000261326
HNRNPR,ENSG00000125944
ZNF436,ENSG00000125945
C1orf213,ENSG00000249087
TCEA3,ENSG00000204219
E2F2,ENSG00000007968
ID3,ENSG00000117318
MDS2,ENSG00000197880
TCEB3,ENSG00000011007
RP5-886K2.3,ENSG00000236810
PITHD1,ENSG00000057757
LYPLA2,ENSG00000011009
GALE,ENSG00000117308
HMGCL,ENSG00000117305
FUCA1,ENSG00000179163
CNR2,ENSG00000188822
PNRC2,ENSG00000189266
SRSF10,ENSG00000188529
IFNLR1,ENSG00000185436
STPG1,ENSG00000001460
NIPAL3,ENSG00000001461
RCAN3,ENSG00000117602
RP4-594I10.3,ENSG00000264443
SRRM1,ENSG00000133226
CLIC4,ENSG00000169504
RUNX3,ENSG00000020633
SYF2,ENSG00000117614
C1orf63,ENSG00000117616
RP3-465N24.6,ENSG00000272432
TMEM50A,ENSG00000183726
TMEM57,ENSG00000204178
LDLRAP1,ENSG00000157978
RP11-70P17.1,ENSG00000225643
MAN1C1,ENSG00000117643
RP1-187B23.1,ENSG00000233478
SEPN1,ENSG00000162430
RP1-317E23.3,ENSG00000228172
MTFR1L,ENSG00000117640
AL020996.1,ENSG00000223474
PAQR7,ENSG00000182749
STMN1,ENSG00000117632
PAFAH2,ENSG00000158006
PDIK1L,ENSG00000175087
ZNF593,ENSG00000142684
CNKSR1,ENSG00000142675
CEP85,ENSG00000130695
UBXN11,ENSG00000158062
AIM1L,ENSG00000176092
ZNF683,ENSG00000176083
DHDDS,ENSG00000117682
HMGN2,ENSG00000198830
RPS6KA1,ENSG00000117676
ARID1A,ENSG00000117713
PIGV,ENSG00000060642
ZDHHC18,ENSG00000204160
GPN2,ENSG00000142751
GPATCH3,ENSG00000198746
NUDC,ENSG00000090273
C1orf172,ENSG00000175707
TRNP1,ENSG00000253368
SLC9A1,ENSG00000090020
WDTC1,ENSG00000142784
TMEM222,ENSG00000186501
SYTL1,ENSG00000142765
MAP3K6,ENSG00000142733
WASF2,ENSG00000158195
RP1-159A19.4,ENSG00000237429
AHDC1,ENSG00000126705
FGR,ENSG00000000938
FAM76A,ENSG00000009780
STX12,ENSG00000117758
PPP1R8,ENSG00000117751
THEMIS2,ENSG00000130775
RPA2,ENSG00000117748
XKR8,ENSG00000158156
EYA3,ENSG00000158161
PTAFR,ENSG00000169403
DNAJC8,ENSG00000126698
AL353354.2,ENSG00000269804
ATPIF1,ENSG00000130770
RP5-1092A3.4,ENSG00000270605
SESN2,ENSG00000130766
MED18,ENSG00000130772
PHACTR4,ENSG00000204138
RCC1,ENSG00000180198
TRNAU1AP,ENSG00000180098
SNHG12,ENSG00000197989
TAF12,ENSG00000120656
RP11-442N24__B.1,ENSG00000229388
RNU11,ENSG00000270103
GMEB1,ENSG00000162419
YTHDF2,ENSG00000198492
EPB41,ENSG00000159023
TMEM200B,ENSG00000253304
SRSF4,ENSG00000116350
MECR,ENSG00000116353
MATN1,ENSG00000162510
MATN1-AS1,ENSG00000186056
PUM1,ENSG00000134644
SNRNP40,ENSG00000060688
ZCCHC17,ENSG00000121766
SERINC2,ENSG00000168528
PEF1,ENSG00000162517
SPOCD1,ENSG00000134668
PTP4A2,ENSG00000184007
KHDRBS1,ENSG00000121774
TMEM39B,ENSG00000121775
KPNA6,ENSG00000025800
TXLNA,ENSG00000084652
CCDC28B,ENSG00000160050
TMEM234,ENSG00000160055
EIF3I,ENSG00000084623
FAM167B,ENSG00000183615
HDAC1,ENSG00000116478
MARCKSL1,ENSG00000175130
FAM229A,ENSG00000225828
BSDC1,ENSG00000160058
ZBTB8A,ENSG00000160062
ZBTB8OS,ENSG00000176261
RBBP4,ENSG00000162521
SYNC,ENSG00000162520
YARS,ENSG00000134684
S100PBP,ENSG00000116497
RNF19B,ENSG00000116514
AK2,ENSG00000004455
ADC,ENSG00000142920
TRIM62,ENSG00000116525
ZNF362,ENSG00000160094
PHC2,ENSG00000134686
SMIM12,ENSG00000163866
DLGAP3,ENSG00000116544
RP11-244H3.4,ENSG00000271741
ZMYM6NB,ENSG00000243749
ZMYM6,ENSG00000163867
ZMYM1,ENSG00000197056
SFPQ,ENSG00000116560
ZMYM4,ENSG00000146463
KIAA0319L,ENSG00000142687
NCDN,ENSG00000020129
RP4-728D4.2,ENSG00000239636
TFAP2E,ENSG00000116819
PSMB2,ENSG00000126067
C1orf216,ENSG00000142686
CLSPN,ENSG00000092853
AGO4,ENSG00000134698
AGO1,ENSG00000092847
RP4-789D17.5,ENSG00000271914
AGO3,ENSG00000126070
ADPRHL2,ENSG00000116863
TRAPPC3,ENSG00000054116
MAP7D1,ENSG00000116871
THRAP3,ENSG00000054118
SH3D21,ENSG00000214193
EVA1B,ENSG00000142694
STK40,ENSG00000196182
LSM10,ENSG00000181817
OSCP1,ENSG00000116885
MRPS15,ENSG00000116898
CSF3R,ENSG00000119535
LINC01137,ENSG00000233621
ZC3H12A,ENSG00000163874
MEAF6,ENSG00000163875
SNIP1,ENSG00000163877
GNL2,ENSG00000134697
C1orf109,ENSG00000116922
CDCA8,ENSG00000134690
YRDC,ENSG00000196449
C1orf122,ENSG00000197982
MTF1,ENSG00000188786
INPP5B,ENSG00000204084
SF3A3,ENSG00000183431
FHL3,ENSG00000183386
UTP11L,ENSG00000183520
RRAGC,ENSG00000116954
RP5-864K19.4,ENSG00000228436
MYCBP,ENSG00000214114
AKIRIN1,ENSG00000174574
NDUFS5,ENSG00000168653
MACF1,ENSG00000127603
KIAA0754,ENSG00000255103
RP11-69E11.4,ENSG00000182109
PABPC4,ENSG00000090621
HPCAL4,ENSG00000116983
PPIE,ENSG00000084072
TRIT1,ENSG00000043514
MYCL,ENSG00000116990
MFSD2A,ENSG00000168389
CAP1,ENSG00000131236
PPT1,ENSG00000131238
RLF,ENSG00000117000
RP1-39G22.7,ENSG00000259943
ZMPSTE24,ENSG00000084073
COL9A2,ENSG00000049089
SMAP2,ENSG00000084070
ZFP69B,ENSG00000187801
ZFP69,ENSG00000187815
RP11-656D10.3,ENSG00000238287
EXO5,ENSG00000164002
ZNF684,ENSG00000117010
RIMS3,ENSG00000117016
NFYC-AS1,ENSG00000272145
NFYC,ENSG00000066136
CITED4,ENSG00000179862
CTPS1,ENSG00000171793
SLFNL1,ENSG00000171790
SCMH1,ENSG00000010803
HIVEP3,ENSG00000127124
FOXJ3,ENSG00000198815
PPCS,ENSG00000127125
CCDC30,ENSG00000186409
PPIH,ENSG00000171960
LEPRE1,ENSG00000117385
C1orf50,ENSG00000164008
CCDC23,ENSG00000177868
ERMAP,ENSG00000164010
RP11-342M1.3,ENSG00000228192
ZNF691,ENSG00000164011
SLC2A1,ENSG00000117394
SLC2A1-AS1,ENSG00000227533
EBNA1BP2,ENSG00000117395
WDR65,ENSG00000243710
RP1-92O14.3,ENSG00000234694
CDC20,ENSG00000117399
ELOVL1,ENSG00000066322
MED8,ENSG00000159479
SZT2,ENSG00000198198
HYI,ENSG00000178922
KDM4A,ENSG00000066135
KDM4A-AS1,ENSG00000236200
ST3GAL3,ENSG00000126091
IPO13,ENSG00000117408
DPH2,ENSG00000132768
ATP6V0B,ENSG00000117410
CCDC24,ENSG00000159214
DMAP1,ENSG00000178028
ERI3,ENSG00000117419
RNF220,ENSG00000187147
TMEM53,ENSG00000126106
C1orf228,ENSG00000198520
KIF2C,ENSG00000142945
BEST4,ENSG00000142959
PLK3,ENSG00000173846
BTBD19,ENSG00000222009
PTCH2,ENSG00000117425
EIF2B3,ENSG00000070785
HECTD3,ENSG00000126107
UROD,ENSG00000126088
HPDL,ENSG00000186603
MUTYH,ENSG00000132781
TOE1,ENSG00000132773
TESK2,ENSG00000070759
CCDC163P,ENSG00000236624
PRDX1,ENSG00000117450
AKR1A1,ENSG00000117448
NASP,ENSG00000132780
GPBP1L1,ENSG00000159592
TMEM69,ENSG00000159596
IPP,ENSG00000197429
MAST2,ENSG00000086015
PIK3R3,ENSG00000117461
POMGNT1,ENSG00000085998
LRRC41,ENSG00000132128
UQCRH,ENSG00000173660
NSUN4,ENSG00000117481
FAAH,ENSG00000117480
MKNK1,ENSG00000079277
MOB3C,ENSG00000142961
ATPAF1,ENSG00000123472
EFCAB14,ENSG00000159658
PDZK1IP1,ENSG00000162366
TAL1,ENSG00000162367
CMPK1,ENSG00000162368
RP11-511I2.2,ENSG00000225762
FOXD2-AS1,ENSG00000237424
FOXD2,ENSG00000186564
SPATA6,ENSG00000132122
BEND5,ENSG00000162373
FAF1,ENSG00000185104
CDKN2C,ENSG00000123080
RNF11,ENSG00000123091
EPS15,ENSG00000085832
OSBPL9,ENSG00000117859
NRD1,ENSG00000078618
TXNDC12,ENSG00000117862
KTI12,ENSG00000198841
BTF3L4,ENSG00000134717
ZFYVE9,ENSG00000157077
CC2D1B,ENSG00000154222
ORC1,ENSG00000085840
PRPF38A,ENSG00000134748
ZCCHC11,ENSG00000134744
GPX7,ENSG00000116157
FAM159A,ENSG00000182183
COA7,ENSG00000162377
ZYG11B,ENSG00000162378
ECHDC2,ENSG00000121310
SCP2,ENSG00000116171
PODN,ENSG00000174348
SLC1A7,ENSG00000162383
CPT2,ENSG00000157184
C1orf123,ENSG00000162384
RP5-1024G6.7,ENSG00000259818
MAGOH,ENSG00000162385
RP4-784A16.5,ENSG00000225675
RP11-117D22.2,ENSG00000230138
NDC1,ENSG00000058804
YIPF1,ENSG00000058799
HSPB11,ENSG00000081870
LRRC42,ENSG00000116212
TMEM59,ENSG00000116209
TCEANC2,ENSG00000116205
CYB5RL,ENSG00000215883
MRPL37,ENSG00000116221
SSBP3,ENSG00000157216
ACOT11,ENSG00000162390
TTC4,ENSG00000243725
PARS2,ENSG00000162396
TTC22,ENSG00000006555
C1orf177,ENSG00000162398
DHCR24,ENSG00000116133
USP24,ENSG00000162402
DAB1,ENSG00000173406
OMA1,ENSG00000162600
MYSM1,ENSG00000162601
JUN,ENSG00000177606
LINC01135,ENSG00000234807
RP4-794H19.1,ENSG00000232453
FGGY,ENSG00000172456
HOOK1,ENSG00000134709
CYP2J2,ENSG00000134716
NFIA,ENSG00000162599
TM2D1,ENSG00000162604
INADL,ENSG00000132849
L1TD1,ENSG00000240563
USP1,ENSG00000162607
DOCK7,ENSG00000116641
ATG4C,ENSG00000125703
ALG6,ENSG00000088035
ITGB3BP,ENSG00000142856
EFCAB7,ENSG00000203965
DLEU2L,ENSG00000116652
PGM1,ENSG00000079739
RAVER2,ENSG00000162437
JAK1,ENSG00000162434
AK4,ENSG00000162433
LEPR,ENSG00000116678
LEPROT,ENSG00000213625
PDE4B,ENSG00000184588
MIER1,ENSG00000198160
SLC35D1,ENSG00000116704
IL23R,ENSG00000162594
IL12RB2,ENSG00000081985
SERBP1,ENSG00000142864
GADD45A,ENSG00000116717
WLS,ENSG00000116729
LRRC7,ENSG00000033122
LRRC40,ENSG00000066557
SRSF11,ENSG00000116754
ANKRD13C,ENSG00000118454
HHLA3,ENSG00000197568
CTH,ENSG00000116761
ZRANB2,ENSG00000132485
LRRIQ3,ENSG00000162620
FPGT,ENSG00000254685
CRYZ,ENSG00000116791
TYW3,ENSG00000162623
ACADM,ENSG00000117054
RABGGTB,ENSG00000137955
ST6GALNAC3,ENSG00000184005
PIGK,ENSG00000142892
AK5,ENSG00000154027
ZZZ3,ENSG00000036549
USP33,ENSG00000077254
FAM73A,ENSG00000180488
NEXN,ENSG00000162614
FUBP1,ENSG00000162613
DNAJB4,ENSG00000162616
RP11-386I14.4,ENSG00000273338
IFI44L,ENSG00000137959
IFI44,ENSG00000137965
RP5-887A10.1,ENSG00000234184
RP11-475O6.1,ENSG00000233008
RP11-486G15.2,ENSG00000271576
PRKACB,ENSG00000142875
RPF1,ENSG00000117133
GNG5,ENSG00000174021
CTBS,ENSG00000117151
SSX2IP,ENSG00000117155
MCOLN2,ENSG00000153898
MCOLN3,ENSG00000055732
SYDE2,ENSG00000097096
C1orf52,ENSG00000162642
BCL10,ENSG00000142867
RP11-131L23.1,ENSG00000223653
ZNHIT6,ENSG00000117174
ODF2L,ENSG00000122417
RP4-612B15.3,ENSG00000261737
SH3GLB1,ENSG00000097033
SEP15,ENSG00000183291
HS2ST1,ENSG00000153936
LMO4,ENSG00000143013
PKN2,ENSG00000065243
GTF2B,ENSG00000137947
CCBL2,ENSG00000137944
RBMXL1,ENSG00000213516
GBP3,ENSG00000117226
GBP1,ENSG00000117228
GBP2,ENSG00000162645
GBP4,ENSG00000162654
GBP5,ENSG00000154451
LRRC8B,ENSG00000197147
RP5-1007M22.2,ENSG00000231999
LRRC8C,ENSG00000171488
RP5-943J3.2,ENSG00000272931
LRRC8D,ENSG00000171492
ZNF326,ENSG00000162664
ZNF644,ENSG00000122482
CDC7,ENSG00000097046
TGFBR3,ENSG00000069702
BTBD8,ENSG00000189195
KIAA1107,ENSG00000069712
GLMN,ENSG00000174842
RPAP2,ENSG00000122484
GFI1,ENSG00000162676
EVI5,ENSG00000067208
FAM69A,ENSG00000154511
MTF2,ENSG00000143033
TMED5,ENSG00000117500
CCDC18,ENSG00000122483
DR1,ENSG00000117505
FNBP1L,ENSG00000137942
RP4-561L24.3,ENSG00000260464
DNTTIP2,ENSG00000067334
GCLM,ENSG00000023909
ARHGAP29,ENSG00000137962
ABCD3,ENSG00000117528
CNN3,ENSG00000117519
ALG14,ENSG00000172339
RWDD3,ENSG00000122481
PTBP2,ENSG00000117569
DPYD,ENSG00000188641
AGL,ENSG00000162688
RP5-884G6.2,ENSG00000228084
SLC35A3,ENSG00000117620
HIAT1,ENSG00000156875
SASS6,ENSG00000156876
TRMT13,ENSG00000122435
DBT,ENSG00000137992
RTCA,ENSG00000137996
CDC14A,ENSG00000079335
EXTL2,ENSG00000162694
RP4-549L20.3,ENSG00000273204
SLC30A7,ENSG00000162695
DPH5,ENSG00000117543
AC093157.1,ENSG00000269175
RP11-421L21.2,ENSG00000235795
RP11-421L21.3,ENSG00000233184
RP4-575N6.4,ENSG00000225938
S1PR1,ENSG00000170989
RNPC3,ENSG00000185946
AMY2B,ENSG00000240038
PRMT6,ENSG00000198890
VAV3,ENSG00000134215
VAV3-AS1,ENSG00000230489
RP11-356N1.2,ENSG00000226822
SLC25A24,ENSG00000085491
RP11-483I13.5,ENSG00000260879
FAM102B,ENSG00000162636
HENMT1,ENSG00000162639
PRPF38B,ENSG00000134186
STXBP3,ENSG00000116266
GPSM2,ENSG00000121957
CLCC1,ENSG00000121940
WDR47,ENSG00000085433
TAF13,ENSG00000197780
RP5-1065J22.8,ENSG00000273382
TMEM167B,ENSG00000215717
KIAA1324,ENSG00000116299
SARS,ENSG00000031698
CELSR2,ENSG00000143126
PSRC1,ENSG00000134222
SORT1,ENSG00000134243
PSMA5,ENSG00000143106
ATXN7L2,ENSG00000162650
CYB561D1,ENSG00000174151
AMIGO1,ENSG00000181754
GPR61,ENSG00000156097
GNAI3,ENSG00000065135
AMPD2,ENSG00000116337
GSTM4,ENSG00000168765
GSTM2,ENSG00000213366
GSTM1,ENSG00000134184
GSTM3,ENSG00000134202
CSF1,ENSG00000184371
AHCYL1,ENSG00000168710
STRIP1,ENSG00000143093
RP4-773N10.4,ENSG00000258634
KCNC4,ENSG00000116396
RBM15,ENSG00000162775
SLC16A4,ENSG00000168679
RP5-1074L1.4,ENSG00000273373
LAMTOR5-AS1,ENSG00000224699
LAMTOR5,ENSG00000134248
RP11-284N8.3,ENSG00000259834
KCNA3,ENSG00000177272
RP11-96K19.2,ENSG00000232811
LRIF1,ENSG00000121931
RP11-96K19.5,ENSG00000273010
DRAM2,ENSG00000156171
CEPT1,ENSG00000134255
RP5-1180E21.5,ENSG00000273221
DENND2D,ENSG00000162777
CHI3L2,ENSG00000064886
PIFO,ENSG00000173947
OVGP1,ENSG00000085465
WDR77,ENSG00000116455
ATP5F1,ENSG00000116459
C1orf162,ENSG00000143110
ADORA3,ENSG00000121933
RAP1A,ENSG00000116473
FAM212B,ENSG00000197852
DDX20,ENSG00000064703
CTTNBP2NL,ENSG00000143079
WNT2B,ENSG00000134245
ST7L,ENSG00000007341
CAPZA1,ENSG00000116489
MOV10,ENSG00000155363
RP11-426L16.3,ENSG00000225075
PPM1J,ENSG00000155367
SLC16A1,ENSG00000155380
SLC16A1-AS1,ENSG00000226419
RP11-389O22.1,ENSG00000236066
LRIG2,ENSG00000198799
MAGI3,ENSG00000081026
PHTF1,ENSG00000116793
RSBN1,ENSG00000081019
PTPN22,ENSG00000134242
AP4B1-AS1,ENSG00000226167
BCL2L15,ENSG00000188761
AP4B1,ENSG00000134262
DCLRE1B,ENSG00000118655
RP5-1073O3.7,ENSG00000235527
HIPK1,ENSG00000163349
TRIM33,ENSG00000197323
BCAS2,ENSG00000116752
DENND2C,ENSG00000175984
NRAS,ENSG00000213281
CSDE1,ENSG00000009307
SIKE1,ENSG00000052723
TSPAN2,ENSG00000134198
VANGL1,ENSG00000173218
SLC22A15,ENSG00000163393
ATP1A1,ENSG00000163399
AL136376.1,ENSG00000269279
CD58,ENSG00000116815
CD101,ENSG00000134256
TTF2,ENSG00000116830
MAN1A2,ENSG00000198162
FAM46C,ENSG00000183508
GDAP2,ENSG00000196505
WDR3,ENSG00000065183
WARS2,ENSG00000116874
RP11-418J17.1,ENSG00000231365
PHGDH,ENSG00000092621
REG4,ENSG00000134193
NOTCH2,ENSG00000134250
RP11-114O18.1,ENSG00000273406
FAM72B,ENSG00000188610
FCGR1B,ENSG00000198019
RP11-343N15.5,ENSG00000269996
RP11-344P13.6,ENSG00000272583
RP11-423O2.5,ENSG00000234978
RP11-782C8.1,ENSG00000230850
RP6-206I17.1,ENSG00000223804
RP6-206I17.2,ENSG00000231734
LINC00623,ENSG00000235398
AL592284.1,ENSG00000231360
RP11-640M9.1,ENSG00000236943
NBPF9,ENSG00000168614
PDE4DIP,ENSG00000178104
AL590452.1,ENSG00000268172
RP11-458D21.6,ENSG00000272709
NOTCH2NL,ENSG00000213240
NBPF10,ENSG00000163386
TXNIP,ENSG00000117289
POLR3GL,ENSG00000121851
ANKRD34A,ENSG00000181039
RP11-315I20.1,ENSG00000234222
LIX1L,ENSG00000152022
RBM8A,ENSG00000131795
PEX11B,ENSG00000131779
ITGA10,ENSG00000143127
ANKRD35,ENSG00000198483
PIAS3,ENSG00000131788
NUDT17,ENSG00000186364
POLR3C,ENSG00000186141
RNF115,ENSG00000121848
CD160,ENSG00000117281
GPR89A,ENSG00000117262
NBPF12,ENSG00000186275
PRKAB2,ENSG00000131791
RP11-337C18.8,ENSG00000237188
FMO5,ENSG00000131781
CHD1L,ENSG00000131778
BCL9,ENSG00000116128
ACP6,ENSG00000162836
NBPF14,ENSG00000122497
RP11-89F3.2,ENSG00000236140
NBPF20,ENSG00000203832
NBPF15,ENSG00000243452
RP11-666A1.5,ENSG00000237253
RP11-14N7.2,ENSG00000232527
RP11-403I13.4,ENSG00000223779
RP11-403I13.8,ENSG00000235999
RP11-277L2.3,ENSG00000233368
RP11-353N4.4,ENSG00000223759
FCGR1A,ENSG00000150337
HIST2H2BF,ENSG00000203814
RP11-196G18.24,ENSG00000272993
HIST2H2BE,ENSG00000184678
HIST2H2AC,ENSG00000184260
HIST2H2AB,ENSG00000184270
BOLA1,ENSG00000178096
SV2A,ENSG00000159164
SF3B4,ENSG00000143368
MTMR11,ENSG00000014914
OTUD7B,ENSG00000163113
VPS45,ENSG00000136631
PLEKHO1,ENSG00000023902
ANP32E,ENSG00000143401
APH1A,ENSG00000117362
C1orf54,ENSG00000118292
C1orf51,ENSG00000159208
MRPS21,ENSG00000187145
PRPF3,ENSG00000117360
RPRD2,ENSG00000163125
TARS2,ENSG00000143374
ADAMTSL4,ENSG00000143382
MCL1,ENSG00000143384
ENSA,ENSG00000143420
GOLPH3L,ENSG00000143457
CTSK,ENSG00000143387
ARNT,ENSG00000143437
SETDB1,ENSG00000143379
CERS2,ENSG00000143418
FAM63A,ENSG00000143409
PRUNE,ENSG00000143363
C1orf56,ENSG00000143443
CDC42SE1,ENSG00000197622
MLLT11,ENSG00000213190
GABPB2,ENSG00000143458
TNFAIP8L2,ENSG00000163154
SCNM1,ENSG00000163156
VPS72,ENSG00000163159
PIP5K1A,ENSG00000143398
PSMD4,ENSG00000159352
RP11-126K1.2,ENSG00000232671
ZNF687,ENSG00000143373
PI4KB,ENSG00000143393
RFX5,ENSG00000143390
RP11-126K1.6,ENSG00000237976
PSMB4,ENSG00000159377
POGZ,ENSG00000143442
TUFT1,ENSG00000143367
SNX27,ENSG00000143376
MRPL9,ENSG00000143436
OAZ3,ENSG00000143450
RP11-98D18.3,ENSG00000249602
TDRKH,ENSG00000182134
RP11-98D18.9,ENSG00000203288
RORC,ENSG00000143365
C2CD4D,ENSG00000225556
THEM4,ENSG00000159445
S100A10,ENSG00000197747
S100A12,ENSG00000163221
S100A5,ENSG00000196420
S100A13,ENSG00000189171
CHTOP,ENSG00000160679
SNAPIN,ENSG00000143553
ILF2,ENSG00000143621
INTS3,ENSG00000143624
