gene,ensembl
KLHL21,ENSG00000162413
PHF13,ENSG00000116273
THAP3,ENSG00000041988
DNAJC11,ENSG00000007923
CAMTA1-DT,ENSG00000237436
CAMTA1,ENSG00000171735
VAMP3,ENSG00000049245
PER3,ENSG00000049246
ENSG00000236266,ENSG00000236266
UTS2,ENSG00000049247
TNFRSF9,ENSG00000049249
PARK7,ENSG00000116288
ENSG00000284747,ENSG00000284747
ENSG00000284716,ENSG00000284716
ERRFI1,ENSG00000116285
SLC45A1,ENSG00000162426
RERE,ENSG00000142599
RERE-AS1,ENSG00000232912
ENO1,ENSG00000074800
ENO1-AS1,ENSG00000230679
CA6,ENSG00000131686
SLC2A5,ENSG00000142583
GPR157,ENSG00000180758
H6PD,ENSG00000049239
SPSB1,ENSG00000171621
SLC25A33,ENSG00000171612
TMEM201,ENSG00000188807
PIK3CD,ENSG00000171608
PIK3CD-AS1,ENSG00000179840
PIK3CD-AS2,ENSG00000231789
CLSTN1,ENSG00000171603
CTNNBIP1,ENSG00000178585
LZIC,ENSG00000162441
NMNAT1,ENSG00000173614
RBP7,ENSG00000162444
UBE4B,ENSG00000130939
KIF1B,ENSG00000054523
ENSG00000284735,ENSG00000284735
ENSG00000284642,ENSG00000284642
PGD,ENSG00000142657
CENPS,ENSG00000175279
DFFA,ENSG00000160049
PEX14,ENSG00000142655
CASZ1,ENSG00000130940
C1orf127,ENSG00000175262
TARDBP,ENSG00000120948
SRM,ENSG00000116649
EXOSC10,ENSG00000171824
EXOSC10-AS1,ENSG00000230337
MTOR,ENSG00000198793
UBIAD1,ENSG00000120942
FBXO2,ENSG00000116661
FBXO44,ENSG00000132879
FBXO6,ENSG00000116663
MAD2L2,ENSG00000116670
DRAXIN,ENSG00000162490
AGTRAP,ENSG00000177674
C1orf167,ENSG00000215910
MTHFR,ENSG00000177000
CLCN6,ENSG00000011021
KIAA2013,ENSG00000116685
PLOD1,ENSG00000083444
MFN2,ENSG00000116688
MIIP,ENSG00000116691
TNFRSF8,ENSG00000120949
VPS13D,ENSG00000048707
DHRS3,ENSG00000162496
PRDM2,ENSG00000116731
KAZN,ENSG00000189337
TMEM51,ENSG00000171729
FHAD1,ENSG00000142621
EFHD2-AS1,ENSG00000228140
CASP9,ENSG00000132906
DNAJC16,ENSG00000116138
ENSG00000272510,ENSG00000272510
AGMAT,ENSG00000116771
ENSG00000237301,ENSG00000237301
DDI2,ENSG00000197312
PLEKHM2,ENSG00000116786
SLC25A34,ENSG00000162461
FBLIM1,ENSG00000162458
UQCRHL,ENSG00000233954
SPEN-AS1,ENSG00000179743
SPEN,ENSG00000065526
ZBTB17,ENSG00000116809
EPHA2,ENSG00000142627
ARHGEF19,ENSG00000142632
CPLANE2,ENSG00000132881
FBXO42,ENSG00000037637
SZRD1,ENSG00000055070
SPATA21,ENSG00000187144
NECAP2,ENSG00000157191
LINC01772,ENSG00000226029
NBPF1,ENSG00000219481
CROCC,ENSG00000058453
LINC03126,ENSG00000228549
ENSG00000238142,ENSG00000238142
ENSG00000272426,ENSG00000272426
ATP13A2,ENSG00000159363
SDHB,ENSG00000117118
PADI2,ENSG00000117115
PADI4,ENSG00000159339
PADI6,ENSG00000276747
RCC2,ENSG00000179051
ARHGEF10L,ENSG00000074964
ALDH4A1,ENSG00000159423
IFFO2,ENSG00000169991
UBR4,ENSG00000127481
EMC1-AS1,ENSG00000230424
EMC1,ENSG00000127463
MRTO4,ENSG00000053372
AKR7A2,ENSG00000053371
SLC66A1,ENSG00000040487
CAPZB,ENSG00000077549
MICOS10,ENSG00000173436
NBL1,ENSG00000158747
TMCO4,ENSG00000162542
OTUD3,ENSG00000169914
PLA2G2D,ENSG00000117215
PLA2G2C,ENSG00000187980
UBXN10,ENSG00000162543
CAMK2N1,ENSG00000162545
MUL1,ENSG00000090432
CDA,ENSG00000158825
PINK1,ENSG00000158828
PINK1-AS,ENSG00000117242
DDOST,ENSG00000244038
KIF17,ENSG00000117245
HP1BP3,ENSG00000127483
EIF4G3,ENSG00000075151
ECE1,ENSG00000117298
ENSG00000236936,ENSG00000236936
NBPF3,ENSG00000142794
USP48,ENSG00000090686
LDLRAD2,ENSG00000187942
HSPG2,ENSG00000142798
LINC01635,ENSG00000228397
ZBTB40,ENSG00000184677
C1QA,ENSG00000173372
C1QC,ENSG00000159189
C1QB,ENSG00000173369
EPHB2,ENSG00000133216
KDM1A,ENSG00000004487
LUZP1,ENSG00000169641
LINC01355,ENSG00000261326
HNRNPR,ENSG00000125944
ZNF436,ENSG00000125945
ZNF436-AS1,ENSG00000249087
TCEA3,ENSG00000204219
E2F2,ENSG00000007968
ENSG00000235052,ENSG00000235052
ID3,ENSG00000117318
MDS2,ENSG00000197880
ELOA,ENSG00000011007
ELOA-AS1,ENSG00000236810
PITHD1,ENSG00000057757
LYPLA2,ENSG00000011009
GALE,ENSG00000117308
HMGCL,ENSG00000117305
FUCA1,ENSG00000179163
CNR2,ENSG00000188822
PNRC2,ENSG00000189266
SRSF10,ENSG00000188529
IFNLR1,ENSG00000185436
STPG1,ENSG00000001460
NIPAL3,ENSG00000001461
SRRM1,ENSG00000133226
CLIC4,ENSG00000169504
SYF2,ENSG00000117614
RSRP1,ENSG00000117616
ENSG00000272432,ENSG00000272432
RHD,ENSG00000187010
TMEM50A,ENSG00000183726
RHCE,ENSG00000188672
MACO1,ENSG00000204178
LDLRAP1,ENSG00000157978
MAN1C1,ENSG00000117643
ENSG00000233478,ENSG00000233478
SELENON,ENSG00000162430
ENSG00000228172,ENSG00000228172
MTFR1L,ENSG00000117640
AUNIP,ENSG00000127423
ENSG00000236528,ENSG00000236528
PAQR7,ENSG00000182749
PAFAH2,ENSG00000158006
PDIK1L,ENSG00000175087
ZNF593,ENSG00000142684
CNKSR1,ENSG00000142675
CEP85,ENSG00000130695
UBXN11,ENSG00000158062
CRYBG2,ENSG00000176092
ZNF683,ENSG00000176083
DHDDS,ENSG00000117682
RPS6KA1,ENSG00000117676
ENSG00000260063,ENSG00000260063
ARID1A,ENSG00000117713
PIGV,ENSG00000060642
ZDHHC18,ENSG00000204160
SFN,ENSG00000175793
GPN2,ENSG00000142751
GPATCH3,ENSG00000198746
NUDC,ENSG00000090273
KDF1,ENSG00000175707
TRNP1,ENSG00000253368
SLC9A1,ENSG00000090020
WDTC1,ENSG00000142784
TMEM222,ENSG00000186501
SYTL1,ENSG00000142765
MAP3K6,ENSG00000142733
WASF2,ENSG00000158195
ENSG00000237429,ENSG00000237429
AHDC1,ENSG00000126705
FGR,ENSG00000000938
IFI6,ENSG00000126709
FAM76A,ENSG00000009780
STX12,ENSG00000117758
PPP1R8,ENSG00000117751
THEMIS2,ENSG00000130775
RPA2,ENSG00000117748
XKR8,ENSG00000158156
EYA3,ENSG00000158161
PTAFR,ENSG00000169403
DNAJC8,ENSG00000126698
ATP5IF1,ENSG00000130770
ENSG00000270605,ENSG00000270605
SESN2,ENSG00000130766
MED18,ENSG00000130772
PHACTR4,ENSG00000204138
RCC1,ENSG00000180198
TRNAU1AP,ENSG00000180098
SNHG12,ENSG00000197989
TAF12,ENSG00000120656
TAF12-DT,ENSG00000229388
ENSG00000270103,ENSG00000270103
GMEB1,ENSG00000162419
YTHDF2,ENSG00000198492
EPB41,ENSG00000159023
SRSF4,ENSG00000116350
MECR,ENSG00000116353
MATN1-AS1,ENSG00000186056
SDC3,ENSG00000162512
PUM1,ENSG00000134644
SNRNP40,ENSG00000060688
ZCCHC17,ENSG00000121766
FABP3,ENSG00000121769
SERINC2,ENSG00000168528
PEF1,ENSG00000162517
ADGRB2,ENSG00000121753
SPOCD1,ENSG00000134668
ENSG00000203620,ENSG00000203620
ENSG00000269967,ENSG00000269967
PTP4A2,ENSG00000184007
KHDRBS1,ENSG00000121774
ENSG00000203325,ENSG00000203325
TMEM39B,ENSG00000121775
KPNA6,ENSG00000025800
TXLNA,ENSG00000084652
CCDC28B,ENSG00000160050
ENSG00000224066,ENSG00000224066
IQCC,ENSG00000160051
TMEM234,ENSG00000160055
EIF3I,ENSG00000084623
FAM167B,ENSG00000183615
HDAC1,ENSG00000116478
MARCKSL1,ENSG00000175130
TSSK3,ENSG00000162526
FAM229A,ENSG00000225828
BSDC1,ENSG00000160058
ZBTB8A,ENSG00000160062
ZBTB8OS,ENSG00000176261
RBBP4,ENSG00000162521
SYNC,ENSG00000162520
NHSL3,ENSG00000162522
YARS1,ENSG00000134684
S100PBP,ENSG00000116497
RNF19B,ENSG00000116514
AK2,ENSG00000004455
AZIN2,ENSG00000142920
TRIM62,ENSG00000116525
ZNF362,ENSG00000160094
PHC2,ENSG00000134686
ZSCAN20,ENSG00000121903
SMIM12,ENSG00000163866
DLGAP3,ENSG00000116544
ENSG00000284773,ENSG00000284773
ENSG00000271741,ENSG00000271741
ZMYM6,ENSG00000163867
ZMYM1,ENSG00000197056
SFPQ,ENSG00000116560
ZMYM4,ENSG00000146463
KIAA0319L,ENSG00000142687
NCDN,ENSG00000020129
TFAP2E-AS1,ENSG00000239636
TFAP2E,ENSG00000116819
PSMB2,ENSG00000126067
C1orf216,ENSG00000142686
AGO4,ENSG00000134698
AGO1,ENSG00000092847
ENSG00000271914,ENSG00000271914
AGO3,ENSG00000126070
ADPRS,ENSG00000116863
COL8A2,ENSG00000171812
TRAPPC3,ENSG00000054116
MAP7D1,ENSG00000116871
THRAP3,ENSG00000054118
SH3D21,ENSG00000214193
EVA1B,ENSG00000142694
STK40,ENSG00000196182
LSM10,ENSG00000181817
OSCP1,ENSG00000116885
MRPS15,ENSG00000116898
LITATS1,ENSG00000233621
ZC3H12A,ENSG00000163874
MEAF6,ENSG00000163875
SNIP1,ENSG00000163877
GNL2,ENSG00000134697
AIRIM,ENSG00000116922
CDCA8,ENSG00000134690
MANEAL,ENSG00000185090
YRDC,ENSG00000196449
C1orf122,ENSG00000197982
MTF1,ENSG00000188786
INPP5B,ENSG00000204084
SF3A3,ENSG00000183431
FHL3,ENSG00000183386
UTP11,ENSG00000183520
POU3F1,ENSG00000185668
LINC01685,ENSG00000238063
RRAGC,ENSG00000116954
RRAGC-DT,ENSG00000228436
MYCBP,ENSG00000214114
AKIRIN1,ENSG00000174574
NDUFS5,ENSG00000168653
MACF1,ENSG00000127603
PABPC4,ENSG00000090621
HPCAL4,ENSG00000116983
PPIE,ENSG00000084072
BMP8B,ENSG00000116985
OXCT2,ENSG00000198754
ENSG00000261798,ENSG00000261798
ENSG00000284719,ENSG00000284719
TRIT1,ENSG00000043514
MYCL,ENSG00000116990
MFSD2A,ENSG00000168389
CAP1,ENSG00000131236
RLF,ENSG00000117000
ZMPSTE24-DT,ENSG00000259943
ZMPSTE24,ENSG00000084073
COL9A2,ENSG00000049089
SMAP2,ENSG00000084070
ZFP69B,ENSG00000187801
ZFP69,ENSG00000187815
EXO5-DT,ENSG00000238287
EXO5,ENSG00000164002
ZNF684,ENSG00000117010
RIMS3,ENSG00000117016
NFYC-AS1,ENSG00000272145
NFYC,ENSG00000066136
CITED4,ENSG00000179862
CTPS1,ENSG00000171793
SLFNL1-AS1,ENSG00000281207
SCMH1,ENSG00000010803
HIVEP3,ENSG00000127124
FOXJ3,ENSG00000198815
RIMKLA,ENSG00000177181
ZMYND12,ENSG00000066185
PPCS,ENSG00000127125
CCDC30,ENSG00000186409
PPIH,ENSG00000171960
ENSG00000234917,ENSG00000234917
P3H1,ENSG00000117385
C1orf50,ENSG00000164008
SVBP,ENSG00000177868
ERMAP,ENSG00000164010
ZNF691-DT,ENSG00000228192
ZNF691,ENSG00000164011
SLC2A1,ENSG00000117394
SLC2A1-DT,ENSG00000227533
EBNA1BP2,ENSG00000117395
CFAP57,ENSG00000243710
TIE1,ENSG00000066056
CDC20-DT,ENSG00000234694
CDC20,ENSG00000117399
ELOVL1,ENSG00000066322
MED8,ENSG00000159479
SZT2,ENSG00000198198
HYI,ENSG00000178922
PTPRF,ENSG00000142949
KDM4A,ENSG00000066135
KDM4A-AS1,ENSG00000236200
ST3GAL3,ENSG00000126091
LINC02918,ENSG00000237950
IPO13,ENSG00000117408
DPH2,ENSG00000132768
ATP6V0B,ENSG00000117410
B4GALT2,ENSG00000117411
CCDC24,ENSG00000159214
DMAP1,ENSG00000178028
ERI3,ENSG00000117419
RNF220,ENSG00000187147
TMEM53,ENSG00000126106
ARMH1,ENSG00000198520
KIF2C,ENSG00000142945
ENSG00000225721,ENSG00000225721
BEST4,ENSG00000142959
PLK3,ENSG00000173846
DYNLT4,ENSG00000188396
BTBD19,ENSG00000222009
PTCH2,ENSG00000117425
EIF2B3,ENSG00000070785
HECTD3,ENSG00000126107
UROD,ENSG00000126088
ZSWIM5,ENSG00000162415
LINC01144,ENSG00000281912
HPDL,ENSG00000186603
MUTYH,ENSG00000132781
TOE1,ENSG00000132773
TESK2,ENSG00000070759
CCDC163,ENSG00000280670
MMACHC,ENSG00000132763
PRDX1,ENSG00000117450
AKR1A1,ENSG00000117448
CCDC17,ENSG00000159588
GPBP1L1,ENSG00000159592
TMEM69,ENSG00000159596
IPP,ENSG00000197429
MAST2,ENSG00000086015
PIK3R3,ENSG00000117461
POMGNT1,ENSG00000085998
LURAP1,ENSG00000171357
LRRC41,ENSG00000132128
UQCRH,ENSG00000173660
NSUN4,ENSG00000117481
FAAH,ENSG00000117480
MKNK1,ENSG00000079277
MOB3C,ENSG00000142961
ATPAF1,ENSG00000123472
EFCAB14,ENSG00000159658
LINC00853,ENSG00000224805
TAL1,ENSG00000162367
STIL,ENSG00000123473
CMPK1,ENSG00000162368
FOXD2-AS1,ENSG00000237424
FOXD2,ENSG00000186564
SLC5A9,ENSG00000117834
ENSG00000272491,ENSG00000272491
SPATA6,ENSG00000132122
BEND5,ENSG00000162373
FAF1,ENSG00000185104
CDKN2C,ENSG00000123080
RNF11,ENSG00000123091
TTC39A,ENSG00000085831
EPS15,ENSG00000085832
EPS15-AS1,ENSG00000227070
OSBPL9,ENSG00000117859
NRDC,ENSG00000078618
ENSG00000266993,ENSG00000266993
ENSG00000272175,ENSG00000272175
RAB3B,ENSG00000169213
TXNDC12,ENSG00000117862
KTI12,ENSG00000198841
BTF3L4,ENSG00000134717
ZFYVE9,ENSG00000157077
CC2D1B,ENSG00000154222
ORC1,ENSG00000085840
PRPF38A,ENSG00000134748
TUT4,ENSG00000134744
GPX7,ENSG00000116157
SHISAL2A,ENSG00000182183
COA7,ENSG00000162377
ZYG11B,ENSG00000162378
ECHDC2,ENSG00000121310
SCP2,ENSG00000116171
PODN,ENSG00000174348
SLC1A7,ENSG00000162383
CPT2,ENSG00000157184
ENSG00000236723,ENSG00000236723
CZIB,ENSG00000162384
CZIB-DT,ENSG00000259818
MAGOH,ENSG00000162385
MAGOH-DT,ENSG00000226754
LRP8,ENSG00000157193
LRP8-DT,ENSG00000225675
LINC02812,ENSG00000230138
NDC1,ENSG00000058804
YIPF1,ENSG00000058799
IFT25,ENSG00000081870
LRRC42,ENSG00000116212
TMEM59,ENSG00000116209
TCEANC2,ENSG00000116205
CYB5RL,ENSG00000215883
MRPL37,ENSG00000116221
SSBP3,ENSG00000157216
ACOT11,ENSG00000162390
TTC4,ENSG00000243725
PARS2,ENSG00000162396
TTC22,ENSG00000006555
CIMAP2,ENSG00000162398
DHCR24,ENSG00000116133
USP24,ENSG00000162402
MIR4422HG,ENSG00000231090
PLPP3,ENSG00000162407
DAB1,ENSG00000173406
OMA1,ENSG00000162600
MYSM1,ENSG00000162601
JUN,ENSG00000177606
FGGY,ENSG00000172456
HOOK1,ENSG00000134709
CYP2J2,ENSG00000134716
NFIA,ENSG00000162599
TM2D1,ENSG00000162604
PATJ-DT,ENSG00000271200
PATJ,ENSG00000132849
L1TD1,ENSG00000240563
USP1,ENSG00000162607
DOCK7,ENSG00000116641
ATG4C,ENSG00000125703
ALG6,ENSG00000088035
ITGB3BP,ENSG00000142856
EFCAB7,ENSG00000203965
PGM1,ENSG00000079739
CACHD1,ENSG00000158966
RAVER2,ENSG00000162437
AK4,ENSG00000162433
DNAJC6,ENSG00000116675
LEPROT,ENSG00000213625
LEPR,ENSG00000116678
PDE4B,ENSG00000184588
DNAI4,ENSG00000152763
MIER1,ENSG00000198160
SLC35D1,ENSG00000116704
IL23R,ENSG00000162594
IL12RB2,ENSG00000081985
SERBP1,ENSG00000142864
GADD45A,ENSG00000116717
WLS,ENSG00000116729
DEPDC1,ENSG00000024526
LRRC7,ENSG00000033122
LRRC40,ENSG00000066557
SRSF11,ENSG00000116754
ANKRD13C,ENSG00000118454
ANKRD13C-DT,ENSG00000197568
CTH,ENSG00000116761
ZRANB2-AS1,ENSG00000235079
ZRANB2,ENSG00000132485
NEGR1,ENSG00000172260
LRRIQ3,ENSG00000162620
FPGT,ENSG00000254685
FPGT-TNNI3K,ENSG00000259030
ENSG00000237324,ENSG00000237324
ENSG00000272864,ENSG00000272864
CRYZ,ENSG00000116791
TYW3,ENSG00000162623
ACADM,ENSG00000117054
RABGGTB,ENSG00000137955
ST6GALNAC3,ENSG00000184005
PIGK,ENSG00000142892
AK5,ENSG00000154027
ZZZ3,ENSG00000036549
USP33,ENSG00000077254
MIGA1,ENSG00000180488
NEXN-AS1,ENSG00000235927
NEXN,ENSG00000162614
FUBP1,ENSG00000162613
DNAJB4,ENSG00000162616
ENSG00000273338,ENSG00000273338
IFI44L,ENSG00000137959
IFI44,ENSG00000137965
LINC01725,ENSG00000233008
TTLL7,ENSG00000137941
PRKACB-DT,ENSG00000271576
PRKACB,ENSG00000142875
SAMD13,ENSG00000203943
RPF1,ENSG00000117133
GNG5,ENSG00000174021
SPATA1,ENSG00000122432
CTBS,ENSG00000117151
SSX2IP,ENSG00000117155
MCOLN2,ENSG00000153898
DNAI3,ENSG00000162643
MCOLN3,ENSG00000055732
SYDE2,ENSG00000097096
C1orf52,ENSG00000162642
BCL10,ENSG00000142867
ZNHIT6,ENSG00000117174
COL24A1,ENSG00000171502
LINC02795,ENSG00000285210
SH3GLB1,ENSG00000097033
SELENOF,ENSG00000183291
HS2ST1,ENSG00000153936
LMO4,ENSG00000143013
PKN2-AS1,ENSG00000237505
PKN2,ENSG00000065243
GTF2B,ENSG00000137947
KYAT3,ENSG00000137944
RBMXL1,ENSG00000213516
GBP3,ENSG00000117226
GBP1,ENSG00000117228
GBP2,ENSG00000162645
GBP7,ENSG00000213512
GBP4,ENSG00000162654
ENSG00000284734,ENSG00000284734
GBP5,ENSG00000154451
LRRC8B,ENSG00000197147
LRRC8C-DT,ENSG00000231999
LRRC8C,ENSG00000171488
LRRC8D-DT,ENSG00000272931
LRRC8D,ENSG00000171492
ZNF326,ENSG00000162664
ZNF644,ENSG00000122482
CDC7,ENSG00000097046
TGFBR3,ENSG00000069702
EPHX4,ENSG00000172031
BTBD8,ENSG00000189195
GLMN,ENSG00000174842
RPAP2,ENSG00000122484
GFI1,ENSG00000162676
EVI5,ENSG00000067208
DIPK1A,ENSG00000154511
MTF2,ENSG00000143033
TMED5,ENSG00000117500
CCDC18,ENSG00000122483
DR1,ENSG00000117505
FNBP1L,ENSG00000137942
DNTTIP2,ENSG00000067334
GCLM,ENSG00000023909
ARHGAP29,ENSG00000137962
ABCD3,ENSG00000117528
CNN3,ENSG00000117519
ALG14,ENSG00000172339
TLCD4,ENSG00000152078
RWDD3,ENSG00000122481
PTBP2,ENSG00000117569
DPYD,ENSG00000188641
DPYD-AS1,ENSG00000232878
SNX7,ENSG00000162627
FRRS1,ENSG00000156869
AGL,ENSG00000162688
ENSG00000228084,ENSG00000228084
SLC35A3,ENSG00000117620
ENSG00000283761,ENSG00000283761
MFSD14A,ENSG00000156875
SASS6,ENSG00000156876
TRMT13,ENSG00000122435
LRRC39,ENSG00000122477
DBT,ENSG00000137992
RTCA-AS1,ENSG00000224616
RTCA,ENSG00000137996
EXTL2,ENSG00000162694
ENSG00000273204,ENSG00000273204
SLC30A7,ENSG00000162695
DPH5,ENSG00000117543
DPH5-DT,ENSG00000233184
S1PR1-DT,ENSG00000225938
S1PR1,ENSG00000170989
RNPC3,ENSG00000185946
AMY2B,ENSG00000240038
PRMT6,ENSG00000198890
NTNG1,ENSG00000162631
VAV3,ENSG00000134215
VAV3-AS1,ENSG00000230489
SLC25A24,ENSG00000085491
ENSG00000260879,ENSG00000260879
EEIG2,ENSG00000162636
HENMT1,ENSG00000162639
PRPF38B,ENSG00000134186
STXBP3,ENSG00000116266
GPSM2,ENSG00000121957
CLCC1,ENSG00000121940
WDR47,ENSG00000085433
TAF13,ENSG00000197780
TMEM167B-DT,ENSG00000273382
TMEM167B,ENSG00000215717
ENSG00000270066,ENSG00000270066
ELAPOR1,ENSG00000116299
SARS1,ENSG00000031698
CELSR2,ENSG00000143126
PSRC1,ENSG00000134222
SORT1,ENSG00000134243
PSMA5,ENSG00000143106
ATXN7L2,ENSG00000162650
CYB561D1,ENSG00000174151
AMIGO1,ENSG00000181754
GNAI3,ENSG00000065135
AMPD2,ENSG00000116337
GSTM4,ENSG00000168765
GSTM2,ENSG00000213366
GSTM3,ENSG00000134202
CSF1,ENSG00000184371
AHCYL1,ENSG00000168710
STRIP1,ENSG00000143093
ENSG00000258634,ENSG00000258634
ALX3,ENSG00000156150
KCNC4,ENSG00000116396
RBM15-AS1,ENSG00000227963
RBM15,ENSG00000162775
SLC16A4,ENSG00000168679
LAMTOR5,ENSG00000134248
KCNA2,ENSG00000177301
KCNA3,ENSG00000177272
CD53,ENSG00000143119
ENSG00000232811,ENSG00000232811
LRIF1,ENSG00000121931
ENSG00000273010,ENSG00000273010
DRAM2,ENSG00000156171
CEPT1,ENSG00000134255
ENSG00000273221,ENSG00000273221
DENND2D,ENSG00000162777
CHI3L2,ENSG00000064886
OVGP1,ENSG00000085465
WDR77,ENSG00000116455
ATP5PB,ENSG00000116459
TMIGD3,ENSG00000121933
ADORA3,ENSG00000282608
RAP1A,ENSG00000116473
DDX20,ENSG00000064703
KCND3,ENSG00000171385
CTTNBP2NL,ENSG00000143079
WNT2B,ENSG00000134245
ST7L,ENSG00000007341
CAPZA1,ENSG00000116489
MOV10,ENSG00000155363
RHOC,ENSG00000155366
PPM1J,ENSG00000155367
SLC16A1,ENSG00000155380
SLC16A1-AS1,ENSG00000226419
LRIG2-DT,ENSG00000238198
LRIG2,ENSG00000198799
MAGI3,ENSG00000081026
PHTF1,ENSG00000116793
RSBN1,ENSG00000081019
PTPN22,ENSG00000134242
AP4B1-AS1,ENSG00000226167
BCL2L15,ENSG00000188761
AP4B1,ENSG00000134262
DCLRE1B,ENSG00000118655
HIPK1-AS1,ENSG00000235527
HIPK1,ENSG00000163349
TRIM33,ENSG00000197323
BCAS2,ENSG00000116752
DENND2C,ENSG00000175984
NRAS,ENSG00000213281
CSDE1,ENSG00000009307
SIKE1,ENSG00000052723
TSPAN2,ENSG00000134198
LINC01765,ENSG00000233730
VANGL1,ENSG00000173218
SLC22A15,ENSG00000163393
ATP1A1,ENSG00000163399
CD58,ENSG00000116815
PTGFRN,ENSG00000134247
CD101,ENSG00000134256
TTF2,ENSG00000116830
ENSG00000271427,ENSG00000271427
MAN1A2,ENSG00000198162
GDAP2,ENSG00000196505
WDR3,ENSG00000065183
WARS2,ENSG00000116874
WARS2-AS1,ENSG00000231365
ZNF697,ENSG00000143067
PHGDH,ENSG00000092621
REG4,ENSG00000134193
NOTCH2,ENSG00000134250
SEC22B,ENSG00000265808
NBPF26,ENSG00000273136
LINC00623,ENSG00000226067
FCGR1BP,ENSG00000198019
FAM72B,ENSG00000188610
SRGAP2C,ENSG00000171943
ENSG00000232721,ENSG00000232721
LINC02591,ENSG00000263590
LINC02802,ENSG00000232527
ENSG00000237343,ENSG00000237343
NBPF15,ENSG00000266338
ENSG00000224363,ENSG00000224363
SRGAP2B,ENSG00000196369
FAM72D,ENSG00000215784
ENSG00000276216,ENSG00000276216
ENSG00000236140,ENSG00000236140
NBPF20,ENSG00000162825
GPR89A,ENSG00000117262
PDZK1,ENSG00000174827
CD160,ENSG00000117281
RNF115,ENSG00000265491
POLR3C,ENSG00000186141
NUDT17,ENSG00000186364
PIAS3,ENSG00000131788
ANKRD35,ENSG00000198483
ITGA10,ENSG00000143127
PEX11B,ENSG00000131779
RBM8A,ENSG00000265241
LIX1L-AS1,ENSG00000234222
LIX1L,ENSG00000271601
ANKRD34A,ENSG00000272031
POLR3GL,ENSG00000121851
NBPF10,ENSG00000271425
NOTCH2NLA,ENSG00000264343
ENSG00000276509,ENSG00000276509
NBPF12,ENSG00000268043
PRKAB2,ENSG00000131791
ENSG00000237188,ENSG00000237188
FMO5,ENSG00000131781
CHD1L,ENSG00000131778
LINC00624,ENSG00000278811
BCL9,ENSG00000116128
ACP6,ENSG00000162836
GPR89B,ENSG00000188092
ENSG00000273059,ENSG00000273059
NBPF11,ENSG00000263956
ENSG00000272824,ENSG00000272824
PPIAL4G,ENSG00000236334
NBPF14,ENSG00000270629
NUDT4B,ENSG00000177144
PDE4DIP,ENSG00000178104
NBPF9,ENSG00000269713
ENSG00000274265,ENSG00000274265
NBPF19,ENSG00000271383
